cheemalapadu,1444
jeelakunta,906
polisettipadu,2986
ramachandrapuram,2432
repudi thanda,11734
agiripalli,13283
ammavarigudem,1994
edara,786
kommuru,3268
ramachandrapuram,2432
ramakotipuram,2432
south chiruvolulanka,1491
tungalavaripalem,786
chorampudi,5303
mallampudi,1850
nageswaraopeta,7770
p.ravigunta,1966
pedatummidi,919
ampapuram,547
kanumolu,2042
parikeedu,786
r.a.peta,4936
nadakuduru,1205
kotapadu,3516
kattubadipalem,3580
ambireddigudem,2933
amudala lanka,3620
satyalapadu,1393
utukuru,2066
maadalavarigudem,1994
atchampalem,2722
ghantasala,9248
papavinasanam,599
srikakulam,786
eedulamaddali,1191
mallayapalem,786
parnasa,1928
sydepudi,308
kuchikayalapudi,887
polimetla,2431
vinnakota,17852
posinavaripalem,786
tummalapalem,2698
d. p. thanda,11734
narasaipalem,786
pandiripalligudem,789
srungavarappadu,1007
bhaskaraopet,1676
china tadinada,1253
guravaipalem,786
kalidindi,3142
kondangi,33373
lodidalanka,1185
mula upparagudem,6112
s.r.p.agraharam,1025
kothapet,6114
madduru,3132
punadipadu,3134
jayapuram,2966
potumeedha,2943
ullipalem,5471
v.kothapalem,6114
chinagollapalem,6005
laxmipuram,12925
yendapalli,1074
karagraharam,4689
manginapudi,1391
nelakurru,1144
pallitummalapalem,2698
pedayadara,6980
seetharamapuram,1697
sulthanagaram,1697
tummalacheruvu,1873
alinagaram,1025
k.kothapalem,6114
north chiruvolulanka,1491
batlapenamarru,6032
kondavaram,786
movvapalem,7562
nidumolu,2042
paddaraiduthota,3572
chevuru,3256
vadavalli,3061
viavaka,2101
akkireddy gudem,2933
chekkapalli,5677
valasapalli,5908
pondugala,4362
bavadevarapalli,3061
edurumondi,1150
elichitladibba,231
ganapeswaram,3677
gullalamoda,8325
kammanamolu,904
marripalem,786
nangaigadda,23737
pedakammavaripalem,4032
pedapalem,786
remalavaripalem,786
sangameswaram,1571
raghavapuram,1973
kudaravalli,862
polukonda,2390
ramapuram,2432
mittagudem,1994
ravicherla,3572
turpu digavalli,4116
yanamadala,2428
korimerla,202
aginaparru,2945
alinakipalem,3916
amenapuram,1178
gopavanipalem,1016
pathalanka,1185
penumatcha,1492
sreerangapuram,954
velupuru,906
achayyavaripalem,786
dosapadu,2144
pamulapadu,436
yalamarru,6032
enamalakuduru,16000
nawabpet,4826
sanagapadu,3251
sivapuram,954
bhadrirajupalem,3268
pamullanka,3620
erukopadu,487
g.kothuru,7562
gangugapadu,6164
komireddipalli,2350
yerramadu,1606
athkuru,4080
koyyagrupadu,2160
nagavarapadu,1007
narayanaraopet,1305
pedavutapalli,7537
veldhipadu,16000
chityala,4590
polampalli,3798
bodhavada,1247
v. annavaram,2454
prasadampadu,1493
ramavarappadu,2744
