STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
21,383,2987,402183,Khairamunda,31,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402184,Asanabahali,895,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402185,Khanda,657,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402186,Kendumunda,327,3354,KANKADA HAD,117384,PANGATIRA,
21,383,2987,402187,Brahmanjhar,393,3354,KANKADA HAD,117384,PANGATIRA,
21,383,2987,402188,Pangatira,3110,3354,KANKADA HAD,117384,PANGATIRA,
21,383,2987,402189,Andhari,352,3354,KANKADA HAD,117384,PANGATIRA,
21,383,2987,402190,Karadakhaman,185,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402191,Dangapal,217,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402192,Nageswar,100,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402193,Dehurihata,850,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402194,Jarada,1004,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402195,Kaushalyapal,278,3356,PARJANG,117425,KUALO,
21,383,2987,402196,Dholia,621,3354,KANKADA HAD,117366,BAM,
21,383,2987,402197,Gobari,584,3354,KANKADA HAD,117366,BAM,
21,383,2987,402198,Bam,2185,3354,KANKADA HAD,117366,BAM,
21,383,2987,402199,Garapalasuni,4723,3354,KANKADA HAD,117372,GADAPHALASUNI,
21,383,2987,402200,Toradanali,1748,3354,KANKADA HAD,117374,JHILLI,
21,383,2987,402201,Jhili,1360,3354,KANKADA HAD,117374,JHILLI,
21,383,2987,402202,Dasipur,1999,3354,KANKADA HAD,117371,DASHIPUR,
21,383,2987,402203,Kusumundia,593,3354,KANKADA HAD,117371,DASHIPUR,
21,383,2987,402204,Gurujanguli,1457,3354,KANKADA HAD,117371,DASHIPUR,
21,383,2987,402205,Jangu,1169,3354,KANKADA HAD,117369,BIRIBOLEI,
21,383,2987,402206,Ghagaramunda,1136,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402207,Katumunda,757,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402208,Balipada,500,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402209,Sundarmundi,297,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402210,Bhejia,731,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402211,Gatarei,1358,3354,KANKADA HAD,117373,GHAGARAMUNDA,
21,383,2987,402212,Biribolei,1044,3354,KANKADA HAD,117369,BIRIBOLEI,
21,383,2987,402213,Solagan,450,3354,KANKADA HAD,117369,BIRIBOLEI,
21,383,2987,402214,Chandapur,2256,3356,PARJANG,117424,KANTOR,
21,383,2987,402215,Mahabirod,3612,3354,KANKADA HAD,117381,MAHABIROD,
21,383,2987,402216,Tampei,493,3354,KANKADA HAD,117374,JHILLI,
21,383,2987,402217,Pathargarh,874,3354,KANKADA HAD,117366,BAM,
21,383,2987,402218,Pakatamunda,496,3354,KANKADA HAD,117366,BAM,
21,383,2987,402219,Kaimatia,47,3354,KANKADA HAD,117381,MAHABIROD,
21,383,2987,402220,Golagadia,620,3354,KANKADA HAD,117380,KUTURIA,
21,383,2987,402221,Madarangamunda,272,3354,KANKADA HAD,117380,KUTURIA,
21,383,2987,402222,Tipeijharan,424,3354,KANKADA HAD,117370,CHANDAPUR,
21,383,2987,402223,Jamunali,500,3354,KANKADA HAD,117369,BIRIBOLEI,
21,383,2987,402224,Bautinali,500,3354,KANKADA HAD,117369,BIRIBOLEI,
21,383,2987,402225,Jaka,1242,3356,PARJANG,117428,MANIKAMARA,
21,383,2987,402226,Patuapali,216,3356,PARJANG,117428,MANIKAMARA,
21,383,2987,402227,Sarakishorpal,1195,3356,PARJANG,117428,MANIKAMARA,
21,383,2987,402228,Manikamara,1858,3356,PARJANG,117428,MANIKAMARA,
21,383,2987,402229,Kadapada,1234,3356,PARJANG,117428,MANIKAMARA,
21,383,2987,402230,Basulei,4682,3356,PARJANG,117415,BASULEI,
21,383,2987,402231,Akhupal,95,3356,PARJANG,117411,AKHUAPAL,
21,383,2987,402232,Rangathali,2157,3356,PARJANG,117411,AKHUAPAL,
21,383,2987,402233,Raijhara,1,3354,KANKADA HAD,117384,PANGATIRA,
