STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
21,379,2922,395592,Mahamadpur,22,3441,RAJKANIKA,119224,PANASGAND,
21,379,2922,395593,Fazilpur,522,0,,119224,PANASGAND,
21,379,2922,395594,Padhanpada,1135,3441,RAJKANIKA,119223,PADHANPADA,
21,379,2922,395595,Badahalapada,1203,3441,RAJKANIKA,119223,PADHANPADA,
21,379,2922,395596,Sanahalapada,914,3441,RAJKANIKA,119223,PADHANPADA,
21,379,2922,395597,Sikdarpur,500,3441,RAJKANIKA,119223,PADHANPADA,
21,379,2922,395598,Batarapada,215,3441,RAJKANIKA,119213,HATASAHI,
21,379,2922,395599,Gahamapal,289,3441,RAJKANIKA,119223,PADHANPADA,
21,379,2922,395600,Bhamanda,1555,3441,RAJKANIKA,119228,SIOPADA,
21,379,2922,395601,Domanda (Barha),838,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395602,Kanapur (Barha),632,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395603,Kanapur(kaema),593,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395604,Gunthala,346,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395605,Manapur,1826,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395606,Domanda (Kaema),423,3441,RAJKANIKA,119207,BARAHADOMANDA,
21,379,2922,395607,Panki,1762,3441,RAJKANIKA,119220,NAHUNI,
21,379,2922,395608,Nuagan,1755,3441,RAJKANIKA,119215,JAYANAGAR,
21,379,2922,395609,Bahadiha,375,3441,RAJKANIKA,119214,JAGULAIPADA,
21,379,2922,395610,Langalabhanja,399,3441,RAJKANIKA,119214,JAGULAIPADA,
21,379,2922,395611,Matia,468,3441,RAJKANIKA,119214,JAGULAIPADA,
21,379,2922,395612,Ektala,522,3441,RAJKANIKA,119214,JAGULAIPADA,
21,379,2922,395613,Mahurigan,692,3441,RAJKANIKA,119204,BAGHABUDA,
21,379,2922,395614,Ostia,365,3441,RAJKANIKA,119204,BAGHABUDA,
21,379,2922,395615,Gualigan,850,3441,RAJKANIKA,119229,TARAS,
21,379,2922,395616,Bangarakuan,895,3441,RAJKANIKA,119206,BARADIA,
21,379,2922,395617,Deuli,683,3441,RAJKANIKA,119206,BARADIA,
