STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
21,370,2755,379717,Jogendanathpur,1419,3320,PAIKMAL,116536,BHUBANESWARPUR
21,370,2755,379718,Bhubaneswarpur,2845,3320,PAIKMAL,116536,BHUBANESWARPUR
21,370,2755,379719,Chhatagaon,875,3320,PAIKMAL,116539,CHHETGAON
21,370,2755,379720,Ghuchapali,814,3320,PAIKMAL,116539,CHHETGAON
21,370,2755,379721,Kuturamal,965,3320,PAIKMAL,116539,CHHETGAON
21,370,2755,379722,Mandiadhipa,1463,3320,PAIKMAL,116549,MANDIADHIPA
21,370,2755,379723,Hirapur,1158,3320,PAIKMAL,116545,KECHHODADAR
21,370,2755,379724,Chuhapali,829,3320,PAIKMAL,116549,MANDIADHIPA
21,370,2755,379725,Kechhodadar,765,3320,PAIKMAL,116545,KECHHODADAR
21,370,2755,379726,Frejarpur,828,3320,PAIKMAL,116545,KECHHODADAR
21,370,2755,379727,Chheliamal,1098,3320,PAIKMAL,116545,KECHHODADAR
21,370,2755,379728,Sukhatal,500,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379729,Temri,2220,3320,PAIKMAL,116554,TAMERI
21,370,2755,379730,Dhandupali,448,3320,PAIKMAL,116554,TAMERI
21,370,2755,379731,Sodha,1138,3320,PAIKMAL,116554,TAMERI
21,370,2755,379732,Khursapali,552,3320,PAIKMAL,116554,TAMERI
21,370,2755,379733,Jhengnadihi,1330,3320,PAIKMAL,116535,BHENGRAJPUR
21,370,2755,379734,Nagdihi,600,3320,PAIKMAL,116535,BHENGRAJPUR
21,370,2755,379735,Kuapali,712,3320,PAIKMAL,116552,PALASADA
21,370,2755,379736,Mahulpali,1297,3320,PAIKMAL,116537,BUKRAMUNDA
21,370,2755,379737,Palsada,1952,3320,PAIKMAL,116552,PALASADA
21,370,2755,379738,Goebahali,1066,3320,PAIKMAL,116552,PALASADA
21,370,2755,379739,Khaira,1045,3320,PAIKMAL,116552,PALASADA
21,370,2755,379740,Bijadihi,1555,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379741,Dengalikendu,500,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379742,Gandpali,375,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379743,Khandsibanji,520,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379744,Haridatal,404,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379745,Kermelabahal,963,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379746,Bhagatpur,814,3320,PAIKMAL,116546,KERMELABAHAL
21,370,2755,379747,Borasambar,1329,3320,PAIKMAL,116552,PALASADA
21,370,2755,379748,Malda,816,3320,PAIKMAL,116535,BHENGRAJPUR
21,370,2755,379749,Banmal,603,3320,PAIKMAL,116535,BHENGRAJPUR
21,370,2755,379750,Sadanandapur,450,3320,PAIKMAL,116535,BHENGRAJPUR
21,370,2755,379751,Rasmunda,187,3320,PAIKMAL,116535,BHENGRAJPUR
