State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,alapaka, 121691, 22.232864, 83.837281, Alapaka GP, 2,344
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,bandega, 121522, 22.501234, 84.0403, Bandega GP, 2,1069
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,bandhabahal, 121523, 22.327287, 83.964676, Bandhabahal GP, 2,1314
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,birkaldihi, 121524, 22.239316, 83.961266, Birkaldihi GP, 2,154
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,deobhubanpur, 121525, 22.2927, 83.926818, Deobhubanpur GP, 2,4740
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,gundiadihi, 121697, 22.214866, 83.820969, Gundiadihi GP, 2,2267
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,hurmei, 121698, 22.273383, 83.818547, Hurmei GP, 2,738
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,karmabahal, 121526, 22.309665, 83.986107, Karmabahal GP, 2,360
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,kinjirkela, 121527, 22.271883, 83.94435, Kinjirkela GP, 2,57
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,kiralaga, 121747, 22.305401, 84.176555, Kiralaga GP, 2,4248
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,kusummura, 121528, 22.303187, 84.033489, Kusummura GP, 2,1356
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,lulukidihi, 121529, 22.523067, 83.999957, Lulukidihi GP, 2,3952
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,rampur, 121530, 22.377045, 84.038369, Rampur GP, 2,879
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,sagbahal, 121531, 22.464766, 84.084933, Sagbahal GP, 2,18
ODISHA, 21, SUNDARGARH, 374, BALISANKARA, 3573,saunamura, 121532, 22.362435, 84.063422, Saunamura GP, 2,1073
