State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
ODISHA, 21, GANJAM, 388, ASKA, 3364,allipur, 117566, 19.626882, 84.669743, ALIPUR GP, 21,900
ODISHA, 21, GANJAM, 388, ASKA, 3364,babanpur, 117567, 19.62693, 84.68672, BABANPUR, 21,4286
ODISHA, 21, GANJAM, 388, ASKA, 3364,badakholi, 117568, 19.704043, 84.702013, BADAKHOLI, 21,835
ODISHA, 21, GANJAM, 388, ASKA, 3364,balichai, 117569, 19.650886, 84.637911, BALICHHAI, 21,2583
ODISHA, 21, GANJAM, 388, ASKA, 3364,balisira, 117570, 19.698695, 84.637996, BALISIRA, 21,3012
ODISHA, 21, GANJAM, 388, ASKA, 3364,baragam, 117572, 19.604036, 84.680762, BARAGAM, 21,1164
ODISHA, 21, GANJAM, 388, ASKA, 3364,bhetanai, 117574, 19.683413, 84.692213, BHETANAI, 21,48
ODISHA, 21, GANJAM, 388, ASKA, 3364,chadhyapalli, 117575, 19.621012, 84.632022, CHADHYAPALLI, 21,785
ODISHA, 21, GANJAM, 388, ASKA, 3364,debabhumi, 117576, 19.637786, 84.645291, DEBABHUMI, 21,1468
ODISHA, 21, GANJAM, 388, ASKA, 3364,gangapur, 117578, 19.649762, 84.611725, GANGAPUR, 21,1731
ODISHA, 21, GANJAM, 388, ASKA, 3364,gunthapada, 117579, 19.669337, 84.638666, GUNTHAPADA, 21,954
ODISHA, 21, GANJAM, 388, ASKA, 3364,haridapadar, 117580, 19.680055, 84.71377, HARIDAPADAR, 21,500
ODISHA, 21, GANJAM, 388, ASKA, 3364,jayapur, 117581, 19.580113, 84.68425, JAYAPUR, 21,1574
ODISHA, 21, GANJAM, 388, ASKA, 3364,kalasandhapur, 117582, 19.600752, 84.66697, KALASANDHAPUR, 21,4983
ODISHA, 21, GANJAM, 388, ASKA, 3364,kamagada, 117583, 19.698257, 84.65773, KAMAGADA, 21,1091
ODISHA, 21, GANJAM, 388, ASKA, 3364,khandadeuli, 117585, 19.562186, 84.66175, KHANDADEULI, 21,1103
ODISHA, 21, GANJAM, 388, ASKA, 3364,kharia, 117586, 19.619557, 84.61262, KHARIA, 21,2045
ODISHA, 21, GANJAM, 388, ASKA, 3364,mangalpur, 117587, 19.643092, 84.63066, MANGALPUR, 21,2896
ODISHA, 21, GANJAM, 388, ASKA, 3364,nalabanta, 117589, 19.581966, 84.66781, NALABANTA, 21,876
ODISHA, 21, GANJAM, 388, ASKA, 3364,pandiapathara, 117591, 19.689783, 84.708901, PANDIAPATHARA, 21,628
ODISHA, 21, GANJAM, 388, ASKA, 3364,sidhanai, 117592, 19.673863, 84.67305, SIDHANAI, 21,1646
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,ambapua, 117615, 19.86452, 84.65301, AMBAPUA GP, 21,657
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,bada barasing, 117616, 19.82908, 84.56102, BADA BARASING, 21,962
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,badapada, 117617, 19.87488, 84.60155, BADAPADA, 21,1728
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,banka, 117618, 19.8241, 84.6314, BANKA GP, 21,490
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,benupalli, 117619, 19.84723, 84.62234, BENUPALLI, 21,498
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,dhumchai, 117620, 19.91282, 84.60119, DHUMCHAI GP, 21,1443
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,gangapur, 117621, 19.77976, 84.60835, GANGAPUR, 21,1731
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,ghru nuagaon, 117629, 19.92638, 84.60606, GHRU NUAGAON GP, 21,1877
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,gobra, 117622, 19.83391, 84.59711, GOBRA, 21,621
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,inginathi, 117623, 19.87716, 84.61465, INGINATHI, 21,1160
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,khairaputi, 117625, 19.77596, 84.61843, KHAIRAPUTI, 21,1248
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,khetribarampur, 117626, 19.80522, 84.60297, KHETRIBARAMPUR, 21,602
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,kulangi, 118032, 19.801771, 84.544102, KULANGI GP, 21,1891
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,munigadi, 117588, 19.755742, 84.6368, MUNIGADI, 21,1295
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,netanga, 117628, 19.85922, 84.61386, NETANGA, 21,897
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,pailipada, 117630, 19.79836, 84.61453, PAILIPADA, 21,1590
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,sasan, 117631, 19.80967, 84.6025, SASAN, 21,1255
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,tanarada, 117624, 19.9018, 84.62006, TANARADA GP, 21,319
ODISHA, 21, GANJAM, 388, BELLAGUNTHA, 3366,udira, 117632, 19.88542, 84.65594, UDIRA GP, 21,18500
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,badakodauda, 117633, 19.935572, 84.552461, BADAKODAUDA, 21,5137
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,baruda, 117635, 20.007521, 84.628597, BARUDA, 21,1977
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,baunsalundi, 117636, 19.923474, 84.567932, BAUNSALUNDI, 21,635
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,brahamanpadara, 117637, 20.087922, 84.543651, BRAHAMANPADARA, 21,1594
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,dadaralunda, 117638, 20.061462, 84.486984, DADARALUNDA, 21,732
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,damakumpa, 117639, 19.921062, 84.506135, DAMAKUMPA, 21,5
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,dihapadal, 117640, 19.939408, 84.597483, DIHAPADAL, 21,727
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,dumhani, 117641, 20.13679, 84.589603, DUMHANI, 21,1443
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,gallery, 117642, 20.095252, 84.565614, GALLERY, 21,482
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,golapadara, 117643, 19.953652, 84.624503, GOLAPADARA, 21,18500
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,harigada, 117644, 20.117172, 84.578133, HARIGADA, 21,500
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,jilundi, 117646, 19.911423, 84.567422, JILUNDI, 21,1481
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,kulada, 117648, 19.971963, 84.628285, KULADA, 21,783
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,lalsing, 117649, 19.947065, 84.57193, LALSING, 21,7078
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,lambhei, 117650, 20.03632, 84.650527, LAMBHEI, 21,18500
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,mujagada, 117651, 20.020556, 84.516883, MUJAGADA, 21,1046
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,sanakudanda, 117652, 19.941242, 84.535612, SANAKUDANDA, 21,1395
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,tilising, 117645, 20.019739, 84.630076, TILISING, 21,914
ODISHA, 21, GANJAM, 388, BHANJANAGAR, 3367,turumu, 117647, 20.050157, 84.614877, TURUMU, 21,64
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,antarapada, 117653, 19.774101, 84.72054, ANTARAPADA GP, 21,800
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,arakhapur, 117654, 19.73127, 84.73597, ARAKHAPUR GP, 21,214
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,ashram karadabadi, 117655, 19.78267, 84.66991, ASHRAM KARADABADI, 21,1363
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,b karadabadi, 117660, 19.85588, 84.82414, B KARADABADI, 21,710
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,balipadara, 117656, 19.73746, 84.70916, BALIPADARA GP, 21,18500
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,bhagabanpur, 117657, 19.86524, 84.85818, BHAGABANPUR, 21,240
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,bhamsali, 117658, 19.79351, 84.80843, BHAMSALI, 21,124
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,biranchipur, 117659, 19.84271, 84.81203, BIRANCHIPUR, 21,3666
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,golabandha, 117661, 19.84522, 84.77347, GOLABANDHA, 21,6232
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,gollia, 117662, 19.7767, 84.82168, GOLLIA, 21,1577
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,gouda borada, 117663, 19.81665, 84.7124, GOUDA GEREDA, 21,1345
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,kalamba, 117664, 19.75133, 84.70064, KALAMBA, 21,951
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,karachuli, 117665, 19.89829, 84.88512, KARACHULI, 21,500
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,kholakholi, 117666, 19.79377, 84.75515, KHOLAKHOLI, 21,2047
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,mangalpur, 117627, 19.80968, 84.66054, MANGALPUR GP, 21,2896
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,manitara, 117667, 19.90293, 84.8014, MANITARA, 21,500
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,matabadi, 117668, 19.85565, 84.71481, MATABADI, 21,1350
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,pachalundi, 117669, 19.76888, 84.66979, PACHALUNDI GP, 21,1146
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,pangidi, 117670, 19.77445, 84.7438, PANGIDI, 21,1060
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,sankuru, 117671, 19.86975, 84.78103, SANKURU GP, 21,1627
ODISHA, 21, GANJAM, 388, BUGUDA, 3368,thakarada, 117672, 19.87455, 84.84217, THAKARADA, 21,1655
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,agastinuagaon, 117673, 19.37073, 85.033352, AGASTINUAGAN GP, 21,6411
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,argipalli, 117674, 19.312431, 84.97091, ARGIPALI GP, 21,8001
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,badamadhapur, 117675, 19.45391, 84.96266, BADAMADHAPUR GP, 21,1086
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,baualagaon, 117676, 19.431973, 84.95047, BAULGAN GP, 21,1877
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,bhikaripalli, 117677, 19.37873, 84.93531, BHIKARIPALLI GP, 21,774
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,bipulingi, 117678, 19.40191, 84.967741, BIPULINGI GP, 21,155
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,chamakhandi, 117679, 19.338432, 84.93197, CHAMAKHANDI GP, 21,4503
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,chikalakhandi, 117680, 19.38012, 84.9834, CHIKALAKHANDI GP, 21,160
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,kalipalli, 117681, 19.29548, 84.92493, KALIPALLI GP, 21,3015
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,kanamana, 117682, 19.32192, 84.96246, KANAMANA GP, 21,2331
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,laxmipur, 117683, 19.352884, 84.887035, LAXMIPUR, 21,2118
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,mahanadapur, 117684, 19.43876, 84.94205, MAHANADAPUR GP, 21,412
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,narendrapur, 117685, 19.33572, 84.86835, NARENDRAPUR, 21,623
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,patlampur, 117687, 19.43499, 84.989851, PATLAMPUR GP, 21,1167
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,podapadara, 117686, 19.374092, 85.01247, PODAPADARA  GP, 21,2143
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,sundarpur, 117688, 19.396651, 84.917362, SUNDARPUR GP, 21,403
ODISHA, 21, GANJAM, 388, CHATRAPUR, 3369,tangonapalli, 117689, 19.37407, 84.87974, TANGONAPALLI, 21,12
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,biswanathpur, 117951, 19.16626, 84.76511, BISWANATHPUR, 21,3143
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,chandapur, 117690, 19.243704, 84.517896, CHANDAPUR, 21,117
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,choudhry tikarpada, 117732, 19.202231, 84.474676, CHOUDHRY TIKARPADA, 21,18500
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,eakasingi, 117691, 19.1635, 84.799, EKASINGI, 21,2104
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,gada gobindapur, 117733, 19.215966, 84.537359, GADA GOBINDAPUR, 21,500
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,girisola, 117692, 19.162147, 84.709587, GIRISOLA, 21,3559
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,gobindanagar, 117693, 19.208226, 84.737915, GOBINDANAGAR, 21,510
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,jhatipadar, 117694, 19.157361, 84.739028, JHATIPADAR, 21,1661
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,k.nuagaon, 117695, 19.227019, 84.559498, K.NUAGAON, 21,928
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,kalabada, 117696, 19.162583, 84.6005, KALABADA, 21,658
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,katuru, 117697, 19.131556, 84.783361, KATURU, 21,1810
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,kotlingi, 117698, 19.141833, 84.62725, KOTLINGI, 21,311
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,lalamenta, 117699, 19.218227, 84.512593, LALAMENTA, 21,711
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,nuapada, 117700, 19.236751, 84.517917, NUAPADA, 21,1142
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,pitatali, 117701, 19.165806, 84.658167, PITATALI, 21,1082
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,r.subani, 117702, 19.136461, 84.7145, R.SUBANI, 21,7993
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,ramchandrapur, 117703, 19.177917, 84.612667, RAMCHANDRAPUR, 21,412
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,rampa, 117704, 19.143417, 84.654111, RAMPA, 21,531
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,sunapur, 117705, 19.112778, 84.775778, SUNAPUR, 21,3440
ODISHA, 21, GANJAM, 388, CHIKITI, 3370,surala, 117706, 19.132361, 84.751083, SURALA, 21,8258
