State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Ambagarathur,253400,10.95685,79.727054,Ambagarathur,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Edatheru,253395,10.867912,79.838146,Edatheru,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Karukkankudy,253401,10.943935,79.770487,Karukkankudy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Keezhaiyur,253396,10.878605,79.837427,Keezhaiyur,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Keezhamanai,253391,10.899681,79.794626,Keezhamanai,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Kottucherry(East),253382,10.964009,79.831441,Kottucherry(East),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Kottucherry(West),253383,10.962261,79.825251,Kottucherry(West),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Kurumbagaram,253387,10.987395,79.76674,Kurumbagaram,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Melakasakudy,253388,10.955765,79.791996,Melakasakudy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Nadungadu,253389,10.969271,79.777302,Nadungadu,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Nallambal,253402,10.946091,79.743161,Nallambal,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Neravy(East),253392,10.889771,79.825967,Neravy(East),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Neravy(West),253393,10.892814,79.806853,Neravy(West),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Pettai,253403,10.912187,79.78199,Pettai,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Ponbethy,253390,10.973182,79.781168,Ponbethy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Poovam,253384,10.992259,79.831788,Poovam,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Sellur,253404,10.927028,79.76899,Sellur,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Sethur,253405,10.937096,79.740886,Sethur,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Surakkudy,253406,10.927199,79.785936,Surakkudy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,T.R. Pattinam(North),253397,10.877099,79.832621,T.R. Pattinam(North),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,T.R. Pattinam(South),253398,10.86334,79.828978,T.R. Pattinam(South),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Thirunallar(North),253407,10.926766,79.792434,Thirunallar(North),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Thirunallar(South),253408,10.923513,79.786406,Thirunallar(South),2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Thiruvettakudy,253385,10.978264,79.836417,Thiruvettakudy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Vanjoor,253399,10.833679,79.83945,Vanjoor,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Varichikudy,253386,10.98282,79.82749,Varichikudy,2
PUDUCHERRY,34,KARAIKAL,637,KARAIKAL,6486,Vizhidiyur,253394,10.908537,79.769523,Vizhidiyur,2
