State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,abishegapakkam,253311,11.862586,79.77825,GP Office,2,7124
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,andiyarpalayam,253312,11.861037,79.79633,GP Office,2,3479
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,bahour(east),253322,11.807512,79.745485,GP Office,2,10927
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,bahour(west),253323,11.806247,79.740582,GP Office,2,10927
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,embalam,253337,11.866537,79.712622,GP Office,2,8862
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,eripakkam,253338,11.88134,79.640314,GP Office,2,4703
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,kalmandapam/pandasolan,253339,11.858053,79.644152,GP Office,2,5643
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,karayamputhur,253324,11.820579,79.648692,GP Office,2,4518
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,kariamanickam,253340,11.873035,79.628266,GP Office,2,7685
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,karikalampakkam,253341,11.863987,79.748992,GP Office,2,7685
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,kirumampakkam,253325,11.819697,79.786104,GP Office,2,7147
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,krishnavaram,253326,11.791474,79.770793,GP Office,2,3959
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,kudiyeruppupalayam,253327,11.821466,79.757391,GP Office,2,8862
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,kuruvinatham,253328,11.793501,79.730536,GP Office,2,7289
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,maducarai east & west,253343,11.868854,79.606479,GP Office,2,10927
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,manamedu,253329,11.811342,79.686511,GP Office,2,819
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,manapet,253330,11.799883,79.774735,GP Office,2,7078
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,nallavadu,253317,11.857374,79.81346,GP Office,2,3479
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,nettapakkam,253345,11.866456,79.633595,GP Office,2,6331
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,pannithittu,253331,11.830129,79.803554,GP Office,2,8862
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,parikalpattu,253332,11.792608,79.7534,GP Office,2,3835
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,pillayarkuppam,253333,11.812306,79.791443,GP Office,2,2744
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,poornankuppam,253318,11.868595,79.80379,GP Office,2,6766
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,pudukuppam,253334,11.790972,79.791564,GP Office,2,2211
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,seliamedu,253335,11.82554,79.751394,GP Office,2,5984
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,sembiampalayam,253346,11.88352,79.729902,GP Office,2,3479
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,sooramangalam,253347,11.882178,79.625719,GP Office,2,2977
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,soriankuppam,253336,11.788093,79.732205,GP Office,2,29808
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,thavalakuppam,253319,11.860968,79.78883,GP Office,2,8862
PUDUCHERRY,34,PONDICHERRY,635,ARIANKUPPAM,6488,thimmanaickanpalay,253320,11.842756,79.77153,GP Office,2,3479
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,ariankuppam(east),253313,11.897058,79.80517,GP Office,2,29808
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,ariankuppam(west),253314,11.894891,79.80182,GP Office,2,29808
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,ariyur,253364,11.911169,79.704549,GP Office,2,8758
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,chettipet,253348,12.0073,79.6455,GP Office,2,1822
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,kakkayanthope,253315,11.895312,79.81175,GP Office,2,4518
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,kalitheerthalkuppam,253349,11.9283,79.6289,GP Office,2,8862
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,kanuvapet,253365,11.906706,79.759172,GP Office,2,5692
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,katterikuppam,253350,12.0034,79.7014,GP Office,2,2731
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,kodathur,253351,11.9918,79.6577,GP Office,2,3605
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,koodapakkam,253366,11.937124,79.729896,GP Office,2,7147
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,koonichampet,253352,12.004,79.6296,GP Office,2,5692
PUDUCHERRY,34,PONDICHERRY,635,VILLIANUR,6490,korkadu,253342,11.880243,79.745153,GP Office,2,3418
