STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
34,637,5914,644983,Varichikudy (North),3533,0,none,253386,VARICHIKUDY,
34,637,5914,644984,Poovam,1565,0,none,253300,KOTTUCHERRY,
34,637,5914,644985,Thiruvettakudy,4281,0,none,253385,THIRUVETTAKUDY,
34,637,5914,644986,Varichikudy (South),4096,0,none,253386,VARICHIKUDY,
34,637,5914,644987,Kottucherry,9711,0,none,253383,KOTTUCHERRY(WEST),
34,637,5914,644988,Vizhidiur,3435,0,none,253394,VIZHIDIYUR,
34,637,5914,644989,Kizhamanai,2851,0,none,253391,KEEZHAMANAI,
34,637,5914,644990,Neravy,6555,0,none,253392,NERAVY(EAST),
34,637,5914,644991,Keezhaiyur (North),2687,0,none,253303,T.R.PATTINAM,
34,637,5914,644992,Keezhaiyur (South),3262,0,none,253396,KEEZHAIYUR,
34,637,5914,644993,Polagam,1888,0,none,253398,T.R.PATTINAM(SOUTH),
34,637,5914,644994,Vanjiur,2234,0,none,253303,T.R.PATTINAM,
34,637,5914,644995,Thirumalairayanpattinam (CT),11264,0,none,253397,T.R.PATTINAM(NORTH),
34,637,5915,644996,Kurumbagaram,5212,0,none,253301,NEDUNGADU,
34,637,5915,644997,Ponbethy,2604,0,none,253390,PONBETHY,
34,637,5915,644998,Puthakudy,2304,0,none,253401,KARUKKANKUDY,
34,637,5915,644999,Nedungadu,4886,0,none,253389,NEDUNGADU,
34,637,5915,645000,Melakasakudy,2140,0,none,253301,NEDUNGADU,
34,637,5915,645001,Ambagarathur,7391,0,none,253304,THIRUNALLAR,
34,637,5915,645002,Nallazhundur,3575,0,none,253402,NALLAMBAL,
34,637,5915,645003,Thevamapuram,2305,0,none,253401,KARUKKANKUDY,
34,637,5915,645004,Sorakudy,4666,0,none,253406,SURAKKUDY,
34,637,5915,645005,Subrayapuram,1069,0,none,253304,THIRUNALLAR,
34,637,5915,645006,Keezhavoor (Part),1119,0,none,253407,THIRUNALLAR(NORTH),
34,637,5915,645007,Thirunallar,6866,0,none,253407,THIRUNALLAR(NORTH),
34,637,5915,645008,Thennankudy,2321,0,none,253404,SELLUR,
34,637,5915,645009,Sethur,3890,0,none,253405,SETHUR,
34,637,5915,645010,Sellur,2482,0,none,253404,SELLUR,
34,637,5915,645011,Pettai,3192,0,none,253403,PETTAI,
