STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
34,635,5909,644917,Thimmanaickenpalayam,3479,0,none,253320,THIMMANAICKANPALAYAM
34,635,5909,644918,Abishegapakkam,7124,6488,ARIANKUPPAM,253311,ABISHEGAPAKKAM
34,635,5909,644919,Tavalakuppam,9212,0,none,253318,POORNANKUPPAM
34,635,5909,644920,Purnankuppam,6766,0,none,253318,POORNANKUPPAM
34,635,5909,644921,Ariankuppam (CT),29808,0,none,253305,ARIANKUPPAM
34,635,5909,644922,Manavely (CT),15666,0,none,253369,MANAVELY
34,635,5911,644923,Manalipet,1244,0,none,253309,MANNADIPET
34,635,5911,644924,Chettipet,1822,0,none,253348,CHETTIPET
34,635,5911,644925,Suthukeny,2637,0,none,253359,SUTHUKENI
34,635,5911,644926,Pudukuppam,2211,0,none,253334,PUDUKUPPAM
34,635,5911,644927,Katteri,4292,0,none,253350,KATTERIKUPPAM
34,635,5911,644928,Kuppam,2731,0,none,253350,KATTERIKUPPAM
34,635,5911,644929,Thethampakkam,2109,0,none,253309,MANNADIPET
34,635,5911,644930,Kodathur,3605,0,none,253351,KODATHUR
34,635,5911,644931,Kunichampet,5692,0,none,253352,KOONICHAMPET
34,635,5911,644932,Mannadipet,11176,0,none,253309,MANNADIPET
34,635,5911,644933,Vadanur,4925,0,none,253363,VADHANUR
34,635,5911,644934,Sorapet,5110,0,none,253309,MANNADIPET
34,635,5911,644935,Vambupet,1111,0,none,253309,MANNADIPET
34,635,5911,644936,Sellipattu,2893,0,none,253309,MANNADIPET
34,635,5911,644937,Sannasikuppam,2375,0,none,253356,SANYASIKUPPAM
34,635,5911,644938,Kalithirthalkuppam,8862,0,none,253349,KALITHEERTHALKUPPAM
34,635,5911,644939,Madagadipet,7253,0,none,253309,MANNADIPET
34,635,5911,644940,Thirubuvanai,9374,0,none,253309,MANNADIPET
34,635,5911,644941,Thiruvandarkoil,7078,0,none,253309,MANNADIPET
34,635,5911,644942,Sedarapet,4756,0,none,253375,SEDURAPET
34,635,5911,644943,Karasur,1752,0,none,253306,VILLIANUR
34,635,5911,644944,Thuthipet,939,0,none,253306,VILLIANUR
34,635,5911,644945,Thondamanatham,4090,0,none,253379,THONDAMANATHAM
34,635,5911,644946,Ramanathapuram,2841,0,none,253306,VILLIANUR
34,635,5911,644947,Pillaiyarkuppam,2744,0,none,253372,PILLAYARKUPPAM
34,635,5911,644948,Koodapakkam,7147,0,none,253366,KOODAPAKKAM
34,635,5911,644949,Ulaivaikkal,1224,0,none,253306,VILLIANUR
34,635,5911,644950,Oussudu,3227,0,none,253373,PORAYUR AGARAM
34,635,5911,644951,Arugur,8758,0,none,253364,ARIYUR
34,635,5911,644952,Kizhur,2955,0,none,253374,SANTHAMANGALAM
34,635,5911,644953,Sathamangalam,2977,0,none,253374,SANTHAMANGALAM
34,635,5911,644954,Mangalam,4320,0,none,253306,VILLIANUR
34,635,5911,644955,Uruvaiyar,4568,0,none,253306,VILLIANUR
34,635,5911,644956,Thirukanji,4207,0,none,253306,VILLIANUR
34,635,5911,644957,Perungalur,1765,0,none,253306,VILLIANUR
34,635,5911,644958,Manakuppam,1254,0,none,253306,VILLIANUR
34,635,5911,644959,Villianur (CT),34383,0,none,253306,VILLIANUR
34,635,5911,644960,Odiampet (OG),500,0,none,253371,ODIAMPET
34,635,5912,644961,Madukkarai,9049,0,none,253308,NETTAPAKKAM
34,635,5912,644962,Kariamanickam,7685,0,none,253340,KARIAMANICKAM
34,635,5912,644963,Eripakkam,4703,0,none,253338,ERIPAKKAM
34,635,5912,644964,Embalam,8331,0,none,253308,NETTAPAKKAM
34,635,5912,644965,Korkadu,3418,0,none,253342,KORKADU
34,635,5912,644966,Karikalampakkam,6558,0,none,253308,NETTAPAKKAM
34,635,5912,644967,Pandasozhanur,5643,0,none,253339,KALMANDAPAM
