abishegapakkam,7124
bahour(east),10927
eripakkam,4703
karayamputhur,4518
kariamanickam,7685
krishnavaram,3959
kuruvinatham,7289
manamedu,819
nettapakkam,6331
parikalpattu,3835
pillayarkuppam,2744
poornankuppam,6766
pudukuppam,2211
seliamedu,5984
ariyur,8758
chettipet,1822
kalitheerthalkuppam,8862
katterikuppam,2731
kodathur,3605
koodapakkam,7147
koonichampet,5692
korkadu,3418
manavely,15666
manavely,15666
mannadipet,7078
odiampet,500
pillayarkuppam,2744
porayur agaram,3227
santhamangalam,2977
sanyasikuppam,2375
sedurapet,4756
suthukeni,2637
thondamanatham,4090
vadhanur,4925
villianur,34383
