State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
MAHARASHTRA,27.0,NANDURBAR,497.0,SHAHADA,4477.0,KAKARDEDIGAR,184283.0,21.462222,74.668056,KAKARDEDIGAR,1.0,ABHANPUR,21.45623471,74.69033065,2399.34459197,249.0,3.984,Abhanpur,100
MAHARASHTRA,27.0,NANDURBAR,497.0,AKARANI,4474.0,ROSHMAL (Bk),183995.0,21.8246,74.2154,ROSHMAL (Bk),2.0,ACHAPA,21.85119695,74.20520112,3139.20823377,914.0,14.624,Achapa,100
MAHARASHTRA,27.0,NANDURBAR,497.0,NANDURBAR                                         ,4475.0,ADACHHI,184003.0,21.43853,74.2023,Adachhi Panch,2.0,ADACHHI,21.43617227,74.21039462,877.872003822,1759.0,28.144,Adachhi,100
MAHARASHTRA,27.0,NANDURBAR,497.0,SHAHADA,4477.0,ADGON,184234.0,21.682222,74.543056,ADGON,1.0,ADGAON,21.67903049,74.5403485,451.892336848,1894.0,30.304,Adgaon,100
MAHARASHTRA,27.0,NANDURBAR,497.0,NANDURBAR                                         ,4475.0,HARIPUR,184043.0,21.25717,74.1784,Haripur Panch,2.0,AJEPUR,21.25060487,74.15935422,2104.4232582,947.0,15.152,Ajepur,100
MAHARASHTRA,27.0,NANDURBAR,497.0,SHAHADA,4477.0,ISLAMPUR,184275.0,21.687222,74.401667,ISLAMPUR,1.0,AKASPUR,21.69507888,74.38849772,1616.99305987,893.0,14.288,Akaspur,100
MAHARASHTRA,27.0,NANDURBAR,497.0,NANDURBAR                                         ,4475.0,CHAKALE,184024.0,21.32122,74.3079,Chakle Panch,2.0,AKHATWADE,21.28813516,74.30982259,3684.25398669,287.0,4.592,Akhatwade,100
MAHARASHTRA,27.0,NANDURBAR,497.0,NANDURBAR                                         ,4475.0,AKARADE,184005.0,21.36789,74.3556,Akrale Panch,2.0,AKRALE,21.36935869,74.34927298,675.215696038,1633.0,26.128,Akrale,100
MAHARASHTRA,27.0,NANDURBAR,497.0,AKARANI,4474.0,KATRI,183988.0,21.8353,74.091,KATRI,2.0,AKWANI,21.86102844,74.1192201,4082.58558276,1000.0,16.0,,100
MAHARASHTRA,27.0,NANDURBAR,497.0,AKKALKUWA,4473.0,ALVIHIR,183931.0,21.618972,74.107861,Alivihir Panch,1.0,ALIVIHIR,21.61521758,74.11108342,534.087013028,915.0,14.64,Alivihir,100
MAHARASHTRA,27.0,NANDURBAR,497.0,SHAHADA,4477.0,ALKHED,184236.0,21.588056,74.446667,ALKHED,1.0,ALKHED,21.58200725,74.44710429,674.108360633,959.0,15.344,Alkhed,100
