State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,NATONDI,188938.0,18.085278,73.643333,NATONDI,2.0,ABHEPURI,18.08962225,73.65102925,946.107072603,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,KAKALGHAR,189117.0,18.497447,72.934849,KAKALGHAR,1.0,ABITGHAR,18.50942276,72.93634049,1340.89886797,25.0,0.4,Abitghar,100
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,AMBOLI,189112.0,18.396329,72.963954,AMBOLI,1.0,ADAD,18.39500616,72.96350751,154.453138679,954.0,15.264,Adad,100
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,ADAI,189135.0,19.0102777778,73.1294444444,GP OFFICE,2.0,ADAI,19.01751959,73.13663482,1104.46031138,3358.0,53.728,Adai,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,PIMPALWADI,188951.0,18.04396,73.530861,Pimpalwadi,2.0,ADAVALE BK.,18.01423337,73.55261025,4026.71630161,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,PIMPALWADI,188951.0,18.04396,73.530861,Pimpalwadi,2.0,ADAVALE KH.,18.02261849,73.53997569,2561.290175,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,ROHA                                              ,4535.0,NHAVE,189362.0,18.26323,73.80254,NHAVE PANCHYAT,2.0,ADAVALI,18.26602958,73.76626282,3843.23831662,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,SHRIVARDHAN,4536.0,ADGAON,189392.0,18.22404,72.94633,Adgaon gram panchayat,1.0,ADGAON,18.22126235,72.93961616,773.449540861,558.0,8.928,Adgaon,100
MAHARASHTRA,27.0,RAIGAD,520.0,MANGAON                                           ,4529.0,Lonashi,189025.0,18.213519,73.283828,Lonashi panchayat,2.0,ADGHAR,18.21131951,73.29774934,1490.63580202,217.0,3.472,Adghar,204.75
MAHARASHTRA,27.0,RAIGAD,520.0,PEN                                               ,4533.0,KASU,189251.0,18.71472222,73.17111111,KASU,2.0,ADHARNE,18.70662314,73.16195778,1319.22712165,623.0,9.968,Adharne,204.75
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,NANDGAON,189123.0,18.380075,72.929333,NANDGAON,1.0,ADHI (PANGOLE),18.39647557,72.91644897,2274.63117143,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,ROHA                                              ,4535.0,CHANERA,189336.0,18.25054,73.01342,CHANERA PANCHYAT,2.0,ADI THAKUR,18.2356366,73.00553418,1854.66756352,1000.0,16.0,,163.8
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,NIGADE,188940.0,18.02968,73.31673,Nigade,2.0,ADISTE,18.03419949,73.34357585,2882.64870319,629.0,10.064,Adiste,163.8
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,ROHINJAN,189195.0,19.0897222222,73.0736111111,GP OFFICE,2.0,ADIVALI,19.09904902,73.06081576,1698.00960276,771.0,12.336,Adivali,100
MAHARASHTRA,27.0,RAIGAD,520.0,PEN                                               ,4533.0,GAGODE BUDRUK,189238.0,18.88527778,73.32305556,GAGODE BUDRUK,2.0,ADIVALI,18.88011522,73.35036464,2929.99402696,771.0,12.336,Adivali,184.31
MAHARASHTRA,27.0,RAIGAD,520.0,KHALAPUR,4527.0,HONAD,188829.0,18.460803,73.182962,HONAD,1.0,ADIWASIWADI [DHANKANHE],18.454471,73.17303803,1261.49884638,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,POLADPUR                                          ,4534.0,MATWAN,189312.0,18.043831,73.28453,Matwan Grampanchayat,2.0,ADKHALVAN,18.04368035,73.28823662,392.245407978,1000.0,16.0,,163.8
MAHARASHTRA,27.0,RAIGAD,520.0,TALA,4538.0,KAKADSHET,189474.0,18.276639,73.200306,KAKADSHET,1.0,ADNALE,18.28023498,73.18405785,1761.53376873,534.0,8.544,Adnale,100
MAHARASHTRA,27.0,RAIGAD,520.0,KHALAPUR,4527.0,CHAVANI,188823.0,18.722707,73.334103,CHAVANI,1.0,ADOSHI,18.75561585,73.33494689,3660.37596323,768.0,12.288,Adoshi,100
MAHARASHTRA,27.0,RAIGAD,520.0,ROHA                                              ,4535.0,DAPOLI,189339.0,18.28139,73.00374,DAPOLI PANCHYAT,2.0,AGARDANDE,18.28525584,72.99453092,1063.09177679,661.0,10.576,Agardande,163.8
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,SALAV,189125.0,18.534781,72.945323,SALAV,1.0,AGARKOT,18.54686805,72.93185705,1954.92528438,168.0,2.688,Agarkot,100
MAHARASHTRA,27.0,RAIGAD,520.0,URAN,4539.0,SARDE,189524.0,18.748056,73.014722,GP Office,1.0,AGARSURE,18.7292268,72.87447606,14915.7024456,2136.0,34.176,Agarsure,100
MAHARASHTRA,27.0,RAIGAD,520.0,MHASALA,4530.0,WARAVATNE,189109.0,18.14455,73.07838,Warvatna GP,1.0,AGARWADA,18.15158075,73.08300571,921.998207476,602.0,9.632,Agarwada,100
MAHARASHTRA,27.0,RAIGAD,520.0,PEN                                               ,4533.0,WARAWANE,189282.0,18.71166667,73.21305556,WARAWANE,2.0,AGHAI,18.71153792,73.23678824,2499.51359997,335.0,5.36,Aghai,100
MAHARASHTRA,27.0,RAIGAD,520.0,KHALAPUR,4527.0,NAVANDE,188847.0,18.50271,73.184093,NAVANDE,1.0,AINGHAR,18.50387813,73.18223266,235.271890293,359.0,5.744,Ainghar,100
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,BHATAN,189140.0,18.9558333333,73.1616666667,GP OFFICE,2.0,AJIVALI,18.96025589,73.17011662,1015.62234807,1417.0,22.672,Ajivali,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,AKALE,188864.0,18.090309,73.498978,Akale,2.0,AKALE,18.08971597,73.49880459,68.4419228846,600.0,9.6,Akale,100
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,KORLAI,189119.0,18.528263,72.911338,KORLAI,1.0,AKSHI,18.61314732,72.88910786,9725.20524209,2974.0,47.584,Akshi,100
MAHARASHTRA,27.0,RAIGAD,520.0,PEN                                               ,4533.0,DURSHET,189236.0,18.87916667,73.14416667,DURSHET,2.0,AKULWADI,18.88099453,73.14234422,279.42074825,747.0,11.952,Akulwadi,184.31
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,AKURLI,189136.0,19.0083333333,73.1408333333,GP OFFICE,2.0,AKURLI,19.0108028,73.14459415,481.377631658,3344.0,53.504,Akurli,100
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,KORLAI,189119.0,18.528263,72.911338,KORLAI,1.0,ALIBAG (M CL),18.62509835,72.87547293,11411.8948125,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,GHAVRE KOND,188891.0,18.138333,73.218611,GHAVRE KOND,2.0,ALSUNDE,18.15631394,73.24612359,3528.27505111,289.0,4.624,Alsunde,100
MAHARASHTRA,27.0,RAIGAD,520.0,MURUD,4531.0,MITHEKHAR,189122.0,18.520232,72.962431,MITHEKHAR,1.0,AMALI,18.50716493,72.95902652,1496.67783988,509.0,8.144,Amali,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,ADISTE,188863.0,18.154444,73.390556,ADISTE,2.0,AMBARLE,18.16326258,73.36237183,3135.14864222,1152.0,18.432,Ambarle,100
MAHARASHTRA,27.0,RAIGAD,520.0,ROHA                                              ,4535.0,NHAVE,189362.0,18.26323,73.80254,NHAVE PANCHYAT,2.0,AMBAVANE,18.26683622,73.80258203,401.01792705,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,TETGHAR,188976.0,18.167778,73.623889,TETGHAR,2.0,AMBE SHIVTAR,18.17200466,73.62399022,470.104796861,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,SHIRAVALI,189199.0,19.0836111111,73.1786111111,GP OFFICE,2.0,AMBE TARF TALOJE,19.07631071,73.18767719,1251.65583115,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,PANVEL                                            ,4532.0,DUNDRE,189150.0,19.04,73.1980555556,GP OFFICE,2.0,AMBE TARF WAJE,19.03739995,73.22178963,2511.44187651,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,MAHAD                                             ,4528.0,NERAV,188939.0,18.329167,73.580556,NERAV,2.0,AMBEGAON BK,18.34507202,73.59153552,2114.42277504,1000.0,16.0,,100
MAHARASHTRA,27.0,RAIGAD,520.0,PEN                                               ,4533.0,UMBARDE,189276.0,18.74083333,73.11805556,UMBARDE,2.0,AMBEGHAR,18.74069318,73.12728524,972.006427399,1760.0,28.16,Ambeghar,100
MAHARASHTRA,27.0,RAIGAD,520.0,URAN,4539.0,SARDE,189524.0,18.748056,73.014722,GP Office,1.0,AMBEGHAR,18.68021358,72.96642911,9098.10576721,1760.0,28.16,Ambeghar,100
MAHARASHTRA,27.0,RAIGAD,520.0,TALA,4538.0,TALE,189489.0,18.292972,73.140722,TALE,1.0,AMBELI,18.28631391,73.13644804,867.020465941,110.0,1.76,Ambeli,100
MAHARASHTRA,27.0,RAIGAD,520.0,URAN,4539.0,SARDE,189524.0,18.748056,73.014722,GP Office,1.0,AMBEPUR,18.67629116,72.97764784,8883.92496946,5035.0,80.56,Ambepur (CT),100
MAHARASHTRA,27.0,RAIGAD,520.0,MHASALA,4530.0,AMBET,189072.0,18.07447,73.2865,Ambet Gp,1.0,AMBET,18.08593272,73.2760433,1687.10628622,1461.0,23.376,Ambet,100
