,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Ambarnath,2.59999526535,ABESHIV,19.190769,73.26755,Ambeshiv Bk,19.18898975,73.29223623
1,Ambarnath,2.48248410572,KHARAD,19.15491,73.16074,Ambhe,19.14634959,73.18256704
2,Ambarnath,2.15521547631,ASNOLI,19.18209,73.32579,Asnoli,19.17388297,73.34438075
3,Ambarnath,0.56806358198,WADI,19.12227,73.16183,Bandhanwadi,19.11858009,73.15809049
4,Ambarnath,4.17350019947,CHAMTOLI,19.1309,73.25782,Bendshil,19.0954295,73.2448328
5,Ambarnath,2.28884278312,DAHIVALI,19.12944,73.24357,Bhoj,19.11257096,73.2310855
6,Ambarnath,0.39525923866,BURDUL,19.11405,73.11531,Burdul,19.11756594,73.11475629
7,Ambarnath,1.54477497408,CHAMTOLI,19.1309,73.25782,Chamtoli,19.13073019,73.27252349
8,Ambarnath,4.65985498207,SAGAON,19.18583,73.3144,Chandap,19.19120031,73.35840646
9,Ambarnath,3.59659001692,CHARGOAN,19.14005,73.35137,Chargaon,19.14497739,73.38520846
10,Ambarnath,4.96858767869,CHAMTOLI,19.1309,73.25782,Chinchavali,19.08624531,73.2595203
11,Ambarnath,4.58926892694,NEVALI,19.17642,73.18454,Chinchavali Bk,19.15533326,73.1469792
12,Ambarnath,2.39758947777,POSARI,19.1629,73.13579,Chirad,19.14233385,73.12893319
13,Ambarnath,2.82231274652,CHON,19.18477,73.28695,Chon,19.19607534,73.31101193
14,Ambarnath,1.9609272659,DAHIVALI,19.12944,73.24357,Dahivali,19.13184902,73.26206091
15,Ambarnath,0.977918883077,SAVARE,19.12471,73.27914,Devaloli,19.12894471,73.28729835
16,Ambarnath,0.628363234812,DHAVLE,19.09147,73.28202,Dhavale,19.09439147,73.28713883
17,Ambarnath,0.748712754332,KHARAD,19.15491,73.16074,Dhoke,19.15536099,73.16785198
18,Ambarnath,0.788913426281,DONE,19.08435,73.31615,Done,19.09090942,73.31328877
19,Ambarnath,0.66707784462,GOREGOAN,19.10682,73.27791,Goregaon,19.10335934,73.28309605
20,Ambarnath,3.55170134714,MANGARUL,19.17298,73.15231,Gorpe,19.16137401,73.18381453
21,Ambarnath,1.74121390418,KARAV,19.11243,73.31393,Indgaon,19.12781105,73.31703941
22,Ambarnath,1.40119078989,SAVARE,19.12471,73.27914,Jambhale,19.13590595,73.28526086
23,Ambarnath,3.30444223609,RAHATOLI,19.17372,73.28122,Jambhilghar,19.16405862,73.31097288
24,Ambarnath,3.34576561784,NEVALI,19.17642,73.18454,Kakadwal,19.16313157,73.15595932
25,Ambarnath,1.80822885663,KAKOLE,19.16598,73.17977,Kakole,19.16201952,73.19646747
26,Ambarnath,2.60937386574,KANHOR,19.14112,73.28407,Kanhor,19.14350911,73.30878108
27,Ambarnath,5.54056991182,CHON,19.18477,73.28695,Karand,19.20165595,73.33658821
28,Ambarnath,3.01179061448,KARAV,19.11243,73.31393,Karav,19.12601948,73.33872777
29,Ambarnath,1.96296071857,NARHEN,19.13166,73.11675,Karavale  Kh,19.12913176,73.1352426
30,Ambarnath,1.18297001637,KASGOAN,19.11422,73.26381,Kasgaon,19.11071662,73.27444134
31,Ambarnath,1.14870435406,KHARAD,19.15491,73.16074,Kharad,19.14665801,73.16731898
32,Ambarnath,3.44036607711,DHAVLE,19.09147,73.28202,Kudsavare,19.11194151,73.30657089
33,Ambarnath,3.1812694193,NARHEN,19.13166,73.11675,Kumbharli,19.13387685,73.14694156
34,Ambarnath,3.75470072431,KHARAD,19.15491,73.16074,Kushivali,19.13144721,73.18644511
35,Ambarnath,2.36566982982,MANGARUL,19.17298,73.15231,Mangrul,19.16249688,73.17190951
36,Ambarnath,3.15959527696,MULGAON,19.16313,73.29646,Mulgaon,19.16106742,73.32646228
37,Ambarnath,0.327622010827,NARHEN,19.13166,73.11675,Narhen,19.12872227,73.11698873
38,Ambarnath,3.07790904411,NEVALI,19.17642,73.18454,Nevali,19.16824115,73.15654275
39,Ambarnath,1.77392755113,ABESHIV,19.190769,73.26755,Pachon,19.19727797,73.2521276
40,Ambarnath,2.75840001447,SAGAON,19.18583,73.3144,Padirpada,19.18688385,73.34064212
41,Ambarnath,3.09479580995,POSARI,19.1629,73.13579,Pali,19.14012285,73.11885818
42,Ambarnath,4.2734146599,ASNOLI,19.18209,73.32579,Pimploli,19.17526408,73.36583315
43,Ambarnath,2.25181327391,POSARI,19.1629,73.13579,Posari,19.14307168,73.14014732
44,Ambarnath,2.49839568486,RAHATOLI,19.17372,73.28122,Rahatoli,19.17200066,73.30493834
45,Ambarnath,2.0222202415,SAGAON,19.18583,73.3144,Sagaon,19.18597742,73.33365515
46,Ambarnath,2.63778028611,SAI,19.18505,73.23983,Sai,19.18442572,73.26493833
47,Ambarnath,3.30979890594,DAHIVALI,19.12944,73.24357,Sape,19.14054016,73.27280377
48,Ambarnath,1.74245503677,SAVARE,19.12471,73.27914,Savare,19.12206692,73.29548792
49,Ambarnath,1.75807075505,DAHIVALI,19.12944,73.24357,Savaroli,19.133545,73.22740889
50,Ambarnath,3.62566259097,KARAV,19.11243,73.31393,Shil,19.13524916,73.33858123
51,Ambarnath,4.31542018042,MANGARUL,19.17298,73.15231,Shiravali,19.15414569,73.18823367
52,Ambarnath,4.91160379582,MULGAON,19.16313,73.29646,Sonavale,19.15500188,73.34242265
53,Ambarnath,1.45723914146,CHAMTOLI,19.1309,73.25782,Tan,19.11977582,73.265153
54,Ambarnath,4.51749550299,RAHATOLI,19.17372,73.28122,Umbroli,19.17592708,73.32416963
55,Ambarnath,0.320843008754,USATNE,19.11802,73.12399,Usatane,19.11775723,73.12703115
56,Ambarnath,0.520418354572,WANGANI,19.09332,73.29744,Vangani (CT),19.09173008,73.30209814
57,Ambarnath,1.700628272,DAHIVALI,19.12944,73.24357,Varade,19.12589544,73.22782291
58,Ambarnath,4.84743656067,ASNOLI,19.18209,73.32579,Yeve,19.16027185,73.36574731
59,Bhiwandi,3.93975623818,AKLOLI,19.49487,73.03675,Akaloli,19.45977836,73.03156035
60,Bhiwandi,1.62622041655,ALIMGHAR,19.20445,73.03581,Alimghar,19.19304958,73.04551026
61,Bhiwandi,4.14965286708,PARIVALI,19.35464,73.06543,Alkhivali,19.32630852,73.03968704
62,Bhiwandi,2.78318545015,AMANE,19.31568,73.15901,Amane,19.29551338,73.17471891
63,Bhiwandi,3.1964756601,AMBADI,19.4721,73.08861,Ambadi,19.44609935,73.07560618
64,Bhiwandi,3.23641171724,ANGAON,19.37113,73.0799,Angaon,19.34211168,73.08228934
65,Bhiwandi,4.29441628415,DOHOLE,19.37968,73.20827,Anhe,19.34107598,73.20707015
66,Bhiwandi,1.13388470339,ANJUR,19.21401,73.03875,Anjur,19.20381745,73.03907852
67,Bhiwandi,0.808016371916,TALVALI,19.34676,73.15854,Arjunali,19.33949727,73.15828656
68,Bhiwandi,3.15388468166,AAVLE,19.43167,73.09159,Awale,19.40339649,73.09398464
69,Bhiwandi,0.38446730991,PUNDAS,19.37439,73.1168,Awalwate,19.37230964,73.11972748
70,Bhiwandi,2.45275800618,BAPGAON,19.28073,73.15109,Bapgaon,19.26079192,73.16108599
71,Bhiwandi,1.17462179315,SHIROLE,19.44233,73.15368,Base,19.43414063,73.14660401
72,Bhiwandi,3.34969531697,BHADANE,19.35526,73.17786,Bhadane,19.32830538,73.19211585
73,Bhiwandi,1.96404334093,CHAVE,19.38653,73.10481,Bhare,19.36902367,73.10729882
74,Bhiwandi,2.59953208832,BHARODI,19.21268,73.05084,Bharodi,19.19493487,73.06695683
75,Bhiwandi,4.44719381805,KUKASE,19.33438,73.14512,Bhawale,19.29489466,73.13837866
76,Bhiwandi,2.59562544752,BHINAR,19.3264,73.09256,Bhinar,19.30319778,73.09527268
77,Bhiwandi,3.53996393367,GANESHAPURI,19.50016,73.01297,Bhiwali,19.47157777,72.99809801
78,Bhiwandi,3.11619263572,BHOKARI,19.39241,73.20251,Bhokari,19.36446883,73.20480052
79,Bhiwandi,1.7736416018,KUKASE,19.33438,73.14512,Borivali  Tarf Sonale,19.32000247,73.13780003
80,Bhiwandi,1.73229928135,SHELAR,19.32136,73.06677,Borpada,19.30680523,73.06088333
81,Bhiwandi,3.35113368223,CHANE,19.44653,73.10364,Chane,19.41646512,73.10142327
82,Bhiwandi,3.10297412362,CHAVE,19.38653,73.10481,Chave,19.35864111,73.10378291
83,Bhiwandi,3.61087349981,CHIMBIPADA,19.37993,73.00594,Chimbipada,19.34759823,73.00272916
84,Bhiwandi,3.83774280241,RAHUR,19.3951,73.1781,Chinchavali  Tarf Rahur,19.36120638,73.17119625
85,Bhiwandi,2.20563940147,KUKASE,19.33438,73.14512,Chinchavali  Tarf Sonale,19.33386702,73.12410572
86,Bhiwandi,2.68627252262,CHINCHAVALI T.KUNDE,19.49363,73.13241,Chinchawali,19.47014317,73.12641065
87,Bhiwandi,5.74409008107,PISE,19.30472,73.15153,Chiradpada,19.3063827,73.20623733
88,Bhiwandi,3.14265430901,DABHAD,19.43884,73.13637,Dabhad,19.41121292,73.13005065
89,Bhiwandi,1.74264265284,KAMBE,19.31121,73.03658,Dahyale,19.29955295,73.047679
90,Bhiwandi,0.248104766505,KURUND,19.3672,73.16286,Dalepada,19.36724023,73.16049529
91,Bhiwandi,4.62995023061,DIGHASHI,19.477,73.10594,Dalonde,19.43720958,73.09293096
92,Bhiwandi,2.48809096882,DAPODE,19.24581,73.03915,Dapode,19.22512314,73.04818285
93,Bhiwandi,2.50222012636,PILANZE,19.38562,73.0649,Depoli,19.38068579,73.04162542
94,Bhiwandi,4.12386760136,RAHUR,19.3951,73.1781,Devali,19.35859402,73.18503066
95,Bhiwandi,1.95199501507,EKSAL,19.50927,73.15274,Devchole,19.49363072,73.16119903
96,Bhiwandi,2.91491225137,BAPGAON,19.28073,73.15109,Devrung,19.26367089,73.17217599
97,Bhiwandi,2.54033001424,LAKHIVALI,19.3485,73.01316,Dhamane,19.33191001,72.99651396
98,Bhiwandi,2.86254573103,DIGHASHI,19.477,73.10594,Dighashi,19.4530135,73.09602589
99,Bhiwandi,3.48535877983,DIVE,19.27218,73.00497,Dive,19.24195723,72.99616678
100,Bhiwandi,2.8208507775,DIVE-ANJUR,19.22768,73.02996,Dive Anjur,19.20381745,73.03907852
101,Bhiwandi,2.90230452586,DOHOLE,19.37968,73.20827,Dohole,19.35406699,73.21359513
102,Bhiwandi,3.74158559576,DUDHANI,19.49084,73.16457,Dudhani,19.46406075,73.14295877
103,Bhiwandi,1.64777899491,DUGAD,19.44004,73.06501,Dugad,19.44889142,73.05240627
104,Bhiwandi,3.86253839495,DUNGE,19.28984,73.01433,Dunge,19.25510839,73.01370364
105,Bhiwandi,3.51926027482,EKSAL,19.50927,73.15274,Eksal,19.48540722,73.13068449
106,Bhiwandi,2.26609666181,SONALE,19.28428,73.10972,Elkunde,19.27334068,73.12793613
107,Bhiwandi,3.39891941615,GANE-PHIRANGPADA,19.31504,72.99868,Firangpada,19.28485633,72.99356548
108,Bhiwandi,2.37428091651,GANE-PHIRANGPADA,19.31504,72.99868,Gane,19.29368859,72.99890019
109,Bhiwandi,3.09313932904,GANESHAPURI,19.50016,73.01297,Ganeshpuri,19.47280408,73.00761824
110,Bhiwandi,2.61111857922,KUNDE,19.47801,73.13377,Ghadane,19.45502345,73.13886096
111,Bhiwandi,3.90454281033,DUDHANI,19.49084,73.16457,Ghotavade,19.45577207,73.16265456
112,Bhiwandi,4.30379266619,GHOTGAON,19.46511,73.04895,Ghotgaon,19.42760396,73.038813
113,Bhiwandi,2.6873563311,PACHCHAPUR,19.45396,73.17226,Gondade,19.43442102,73.15717579
114,Bhiwandi,2.42334849558,CHANE,19.44653,73.10364,Gondravali,19.42535882,73.10912421
115,Bhiwandi,1.65866701897,VADVALI T.RAHUR,19.40867,73.20405,Gorad,19.3941014,73.20065315
116,Bhiwandi,2.06402528408,GORSAI,19.32524,73.07829,Gorsai,19.30733101,73.08346217
