,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Ballarpur,1.82872327767,AMDI,19.803062,79.45676,1065.0,17.04,Amdi,19.79477351,79.4416628
1,Ballarpur,3.79056736212,GILBILI,19.928423,79.47311,246.0,3.936,Asegaon,19.91868718,79.43836062
2,Ballarpur,3.34115321221,KALMANA,19.81851,79.43411,320.0,5.12,Ashti,19.81461516,79.4024404
3,Ballarpur,1.68185619261,BAMNI,19.83867,79.37766,500.0,8.0,Bamhani,19.8306486,79.36402821
4,Ballarpur,1.5911908131,VISAPUR,19.88309,79.32738,810.0,12.96,Bhivkund,19.89736925,79.32837584
5,Ballarpur,2.20893829977,HADSTI,19.88454,79.29181,297.0,4.752,Charwat,19.89909515,79.27743242
6,Ballarpur,1.84126438242,DAHELI,19.8207,79.39887,1170.0,18.72,Daheli,19.8166156,79.38181243
7,Ballarpur,3.06861260933,GILBILI,19.928423,79.47311,1033.0,16.528,Gilbili,19.90640444,79.45541547
8,Ballarpur,1.62398828461,HADSTI,19.88454,79.29181,854.0,13.664,Hadasti,19.87739117,79.27826722
9,Ballarpur,2.00604131284,KOTHARI,19.79072,79.49373,697.0,11.152,Haran Payali,19.80807031,79.49898385
10,Ballarpur,1.53391579667,KALMANA,19.81851,79.43411,1193.0,19.088,Jogapur,19.82163677,79.41982817
11,Ballarpur,2.15707278274,KALMANA,19.81851,79.43411,1295.0,20.72,Kalamna,19.8068383,79.41764013
12,Ballarpur,1.87268779606,KATWALI,19.77392,79.49416,635.0,10.16,Katwali,19.7596799,79.50371496
13,Ballarpur,2.02882860379,KAWADJAI,19.84538,79.4976,1694.0,27.104,Kawadjai,19.82866389,79.4898259
14,Ballarpur,0.404695494422,BAMNI,19.83867,79.37766,500.0,8.0,Kem Rith,19.83506937,79.37709594
15,Ballarpur,0.726553820039,BAMNI,19.83867,79.37766,485.0,7.76,Kem Tukum,19.84519807,79.37736274
16,Ballarpur,4.3711414082,KOTHARI,19.79072,79.49373,500.0,8.0,Khamturla,19.75167119,79.4889169
17,Ballarpur,4.82230807853,KINHI,19.84538,79.4976,1381.0,22.096,Kinhi,19.83481006,79.45288566
18,Ballarpur,0.83584999046,KORTI MAKTA,19.83353,79.43411,173.0,2.768,Korti Makta,19.82726677,79.43852857
19,Ballarpur,2.31185510321,KOTHARI,19.79072,79.49373,500.0,8.0,Kothari,19.78105995,79.47416434
20,Ballarpur,1.29420349713,LAWARI,19.83754,79.40479,322.0,5.152,Lawari,19.83185034,79.39399607
21,Ballarpur,1.89847673166,MANORA,19.86551,79.49376,911.0,14.576,Manora,19.85251531,79.48198552
22,Ballarpur,3.87879007418,GILBILI,19.928423,79.47311,485.0,7.76,Mohali Tukum,19.90344574,79.44721056
23,Ballarpur,2.89625404089,ITOLI,19.87297,79.47653,500.0,8.0,Nimgata Chak,19.85483323,79.45665284
24,Ballarpur,2.89625404089,ITOLI,19.87297,79.47653,173.0,2.768,Nimgata Makta,19.85483323,79.45665284
25,Ballarpur,1.91217809403,PALASGAON,19.81538,79.47179,2481.0,39.696,Palasgaon,19.80443282,79.45769371
26,Chimur,0.777913925665,ADEGAON DESH,20.412933,79.4268,500.0,8.0,Adegaon,20.41695789,79.42069431
27,Chimur,2.32833932531,BOTHALI,20.477783,79.524317,500.0,8.0,Adegaon,20.46366488,79.54082322
28,Chimur,2.32833932531,BOTHALI,20.477783,79.524317,500.0,8.0,Adegaon Chak,20.46366488,79.54082322
29,Chimur,0.736218096013,BHISI,20.62945,79.401683,500.0,8.0,Adhyali,20.62289055,79.40264514
30,Chimur,1.40717541974,PANJAREPAR,20.680233,79.5724,500.0,8.0,Ajgaon,20.67056805,79.56366827
31,Chimur,0.699835552927,AMARPURI,20.5348,79.26325,747.0,11.952,Amarpuri,20.53592238,79.26986311
32,Chimur,0.493227553131,AMBENERI,20.581857,79.427015,1112.0,17.792,Ambeneri,20.57854574,79.43016764
33,Chimur,0.709306165249,AMBOLI,20.645017,79.48915,2525.0,40.4,Amboli,20.64498216,79.49596659
34,Chimur,0.066675588372,AMDI BEGADE,20.4972,79.184183,801.0,12.816,Amdi Begde,20.49661119,79.18430405
35,Chimur,2.24032100251,JAWARABODI,20.669583,79.513367,71.0,1.136,Asola,20.64945715,79.51436933
