,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,BABHULGAON,0.800960365107,ALEGAON,20.54275,78.026383,1074.0,17.184,Alegaon,20.54437853,78.03387623
1,BABHULGAON,0.619589493903,KHOTA,20.665333,78.0943,500.0,8.0,Alipur,20.65986242,78.0931684
2,BABHULGAON,1.99222651606,VENI,20.532767,78.256683,500.0,8.0,Amravati,20.54500652,78.27065535
3,BABHULGAON,0.381189414565,CHIMNAPUR,20.517683,78.1292,22.0,0.352,Anjangaon,20.52110011,78.12949311
4,BABHULGAON,1.24493278726,GIMONA,20.5511,78.143617,624.0,9.984,Antargaon,20.54033225,78.14034195
5,BABHULGAON,1.51060541701,ASEGAONDIVI,20.521767,78.024533,2190.0,35.04,Asegaondevi,20.51913906,78.03876464
6,BABHULGAON,0.736216524042,ASHTRAMPUR,20.66885,78.265783,470.0,7.52,Ashtarampur,20.67313729,78.26039043
7,BABHULGAON,1.05173913364,CHIMNAPUR,20.517683,78.1292,365.0,5.84,Bagapur,20.51201142,78.13728201
8,BABHULGAON,2.00480826523,MAHAMADAPUR,20.655917,78.161667,93.0,1.488,Bagwadi,20.6513403,78.14303008
9,BABHULGAON,2.67922424698,BORGAON,20.520533,78.07865,235.0,3.76,Bhiluksa,20.50909639,78.1012937
10,BABHULGAON,2.39042265938,BORGAON,20.520533,78.07865,190.0,3.04,Chendkapur,20.5382719,78.09161758
11,BABHULGAON,1.70406006357,CHIMNAPUR,20.517683,78.1292,478.0,7.648,Chimnapur,20.52765294,78.14162724
12,BABHULGAON,1.15573402526,CHONDHI,20.496017,78.131817,491.0,7.856,Chondhi,20.49658178,78.14289682
13,BABHULGAON,1.29442495343,DHABA,20.59735,78.01985,3401.0,54.416,Dabha,20.60811648,78.0151207
14,BABHULGAON,0.970592107121,DEHANI,20.570467,78.0314,1168.0,18.688,Dehani,20.56693805,78.03992717
15,BABHULGAON,1.94385347198,NAYAGAON,20.537483,78.209617,444.0,7.104,Deogaon,20.53149789,78.19207755
16,BABHULGAON,0.268415735763,FALEGAON,20.631317,78.127317,2177.0,34.832,Falegaon,20.63365662,78.12668197
17,BABHULGAON,3.33742566664,KHOTA,20.665333,78.0943,500.0,8.0,Fattepur (Resettle),20.63967522,78.0776571
18,BABHULGAON,1.67407492715,GAWHALA,20.4994,78.1094,2110.0,33.76,Galwha,20.49065037,78.12247971
19,BABHULGAON,4.10187537051,MAHULI,20.561583,78.059317,384.0,6.144,Galwhi,20.5828666,78.02713485
20,BABHULGAON,0.976369061614,GANORI,20.530867,78.166167,2072.0,33.152,Ganori,20.53812348,78.17144656
21,BABHULGAON,0.660693953768,GAWANDI,20.608167,78.1814,1295.0,20.72,Gawandi,20.6042935,78.18621358
22,BABHULGAON,0.864496140629,GHARPHAL,20.6571,78.208167,2238.0,35.808,Gharfal,20.65831895,78.19996094
23,BABHULGAON,0.622836271011,GIMONA,20.5511,78.143617,707.0,11.312,Gimona,20.55523561,78.14765155
24,BABHULGAON,0.977011269432,GONDHALI,20.604467,78.23185,1014.0,16.224,Gondhali,20.60872912,78.22364128
25,BABHULGAON,2.43421268863,MITNAPUR,20.545383,78.190117,297.0,4.752,Hastapur,20.56458875,78.20133716
26,BABHULGAON,1.75825292254,MUBARAKPUR,20.59165,78.247317,1.0,0.016,Hatgaon,20.60729724,78.24488224
27,BABHULGAON,2.56421537614,KARALGAON,20.481783,78.129883,1147.0,18.352,Karalgaon,20.46425161,78.14587435
28,BABHULGAON,2.6414795222,KHADAKSAWANGA,20.6009,78.151,305.0,4.88,Khadak Sawanga,20.58602739,78.13121192
29,BABHULGAON,0.533221191418,KHARADA,20.620933,78.169517,1805.0,28.88,Kharda,20.61876803,78.16494528
30,BABHULGAON,2.52321944177,GONDHALI,20.604467,78.23185,449.0,7.184,Kinhi,20.60549455,78.20763218
31,BABHULGAON,0.350967171938,KOLHI,20.6233,78.096567,916.0,14.656,Kolhi,20.62415324,78.09981389
32,BABHULGAON,0.443460173803,KHONDA,20.549017,78.219667,1119.0,17.904,Kondha,20.54964749,78.22387258
33,BABHULGAON,1.75971509585,NANDURA BK,20.579867,78.1548,353.0,5.648,Kopara 2,20.57131986,78.1405736
34,BABHULGAON,5.08509369492,KHOTA,20.665333,78.0943,1358.0,21.728,Kopra (Ja),20.63065164,78.06244507
35,BABHULGAON,0.844878053219,KAOTAMBA,20.507183,78.20315,1620.0,25.92,Kotamba,20.50525281,78.21099609
36,BABHULGAON,3.04920285529,KHOTA,20.665333,78.0943,500.0,8.0,Kotha (F),20.65058245,78.06959453
37,BABHULGAON,4.25695183946,PANCHGWHAN,20.491367,78.164317,474.0,7.584,Krishnapur,20.50049749,78.20400855
38,BABHULGAON,0.230847931868,LONI,20.520133,78.251767,756.0,12.096,Loni,20.51876562,78.25343498
39,BABHULGAON,1.14220409107,MADHNI,20.48125,78.200067,1983.0,31.728,Madani,20.48032216,78.21098738
40,BABHULGAON,1.08049749571,MAHAMADAPUR,20.655917,78.161667,435.0,6.96,Mahamadpur,20.66033779,78.17091492
41,BABHULGAON,1.06510613937,MAHULI,20.561583,78.059317,502.0,8.032,Mahuli,20.56315241,78.06940926
42,BABHULGAON,0.943828409782,TAKLGAON,20.55975,78.122917,560.0,8.96,Mangarul,20.55581193,78.13094762
43,BABHULGAON,3.49010132497,MANKAPUR,20.528533,78.18725,104.0,1.664,Maralpur,20.51289785,78.21630979
44,BABHULGAON,1.03432190762,MITNAPUR,20.545383,78.190117,387.0,6.192,Mitanapur,20.55467696,78.19052686
45,BABHULGAON,1.76759730981,THALEGAON,20.631317,78.127317,387.0,6.192,Mitanapur,20.6163991,78.13318402
46,BABHULGAON,1.76759730981,THALEGAON,20.631317,78.127317,551.0,8.816,Mitanapur (Resettle),20.6163991,78.13318402
47,BABHULGAON,0.523531093658,MUBARAKPUR,20.59165,78.247317,466.0,7.456,Mubarakpur,20.59542654,78.25032054
48,BABHULGAON,1.59618753601,SAWANGI MANG,20.572533,78.176967,32.0,0.512,Muradabad,20.58356109,78.18678259
49,BABHULGAON,0.652167952796,WATKHED KD,20.56905,78.2284,523.0,8.368,Mustabad,20.56446108,78.22449881
50,BABHULGAON,1.49265179481,NANDESAWANGI,20.56215,78.25525,657.0,10.512,Nade Sawangi,20.56345734,78.26951904
