,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
3243,CHAMOLI,Chamoli,Ala chak bura,AALA JOKHANA
3244,CHAMOLI,Chamoli,Amkheth,SAIKOT
3245,CHAMOLI,Chamoli,Anagoli,RANGTOLI
3246,CHAMOLI,Chamoli,Angthala,ANGTHALA
3247,CHAMOLI,Chamoli,Ansuya,SIROLI
3248,CHAMOLI,Chamoli,Bachher,BACHHER
3249,CHAMOLI,Chamoli,Baindu,GHUDSHAL
3250,CHAMOLI,Chamoli,Bairagana,BAIRAGANA
3251,CHAMOLI,Chamoli,Bairau,BAIRON
3252,CHAMOLI,Chamoli,Baligwar,KANOL
3253,CHAMOLI,Chamoli,Bamiyala,BAMIYALA
3254,CHAMOLI,Chamoli,Banala,NAUNA BANALA
3255,CHAMOLI,Chamoli,Bandwara,BANADWARA
3256,CHAMOLI,Chamoli,Banj Bagar,ROPA SEMDUGRA
3257,CHAMOLI,Chamoli,Banswara,VADUK
3258,CHAMOLI,Chamoli,Banswara Chak sainti,SAINTI
3259,CHAMOLI,Chamoli,Barachaksainji,BEDA
3260,CHAMOLI,Chamoli,Barali,BHATINGYALA
3261,CHAMOLI,Chamoli,Batula,BATULA
3262,CHAMOLI,Chamoli,Baunla,BOALA
3263,CHAMOLI,Chamoli,Bazbagar,BANJ BAGAR
3264,CHAMOLI,Chamoli,Bemru,BEMARU
3265,CHAMOLI,Chamoli,Bhadakoti,BAIRAGANA
3266,CHAMOLI,Chamoli,Bhainswara chak Vaduk,BANSWADA
3267,CHAMOLI,Chamoli,Bhainti,BHENTI
3268,CHAMOLI,Chamoli,Bhairni,BHERNI
3269,CHAMOLI,Chamoli,Bhatingyala,BHATINGYALA
3270,CHAMOLI,Chamoli,Bhatiyana lagga lakhi,BHATIYANA
3271,CHAMOLI,Chamoli,Bhirlagga Gadora,GADORA
3272,CHAMOLI,Chamoli,Bijar,BIJAR
3273,CHAMOLI,Chamoli,birambal gaon,
3274,CHAMOLI,Chamoli,Birhi,DIGOLI
3275,CHAMOLI,Chamoli,Boli,SONLA
3276,CHAMOLI,Chamoli,Bura,BURA
3277,CHAMOLI,Chamoli,Chaka,CHAKA
3278,CHAMOLI,Chamoli,Chamtoli Chak Banswara,BANSWADA
3279,CHAMOLI,Chamoli,Chandulichakhat,HAT
3280,CHAMOLI,Chamoli,Chaparudiyar,DIGOLI
3281,CHAMOLI,Chamoli,Chappno lagga masau,MASON
3282,CHAMOLI,Chamoli,Charbang,CHARBANG
3283,CHAMOLI,Chamoli,Chari,CHARI
3284,CHAMOLI,Chamoli,Chatolikiroli,KIRULI
3285,CHAMOLI,Chamoli,Chhinka,CHHINAKA
3286,CHAMOLI,Chamoli,Dadar,DEWAR KANERI
3287,CHAMOLI,Chamoli,Daswan,HAT
3288,CHAMOLI,Chamoli,Dewaldhar,DEWALDHAR
3289,CHAMOLI,Chamoli,Dewar,DEWAR KANERI
3290,CHAMOLI,Chamoli,Dewar Khandora,DEWAR KHADORA
3291,CHAMOLI,Chamoli,Dhanoli,SIROLI
3292,CHAMOLI,Chamoli,Dhar gaon,KUMJUG
3293,CHAMOLI,Chamoli,Dhar Gaon lagga ustoli,USTOLI
3294,CHAMOLI,Chamoli,Dharkot,DHARKOT
3295,CHAMOLI,Chamoli,Dharwani,GHUNI
3296,CHAMOLI,Chamoli,Dhogarikandai,DOGDI KANDAIE
3297,CHAMOLI,Chamoli,Dhola Chak Ustoli,USTOLI
3298,CHAMOLI,Chamoli,Dhurma,DHURMA
3299,CHAMOLI,Chamoli,Digoli,DIGOLI
3300,CHAMOLI,Chamoli,Dungari,DUNGRI
3301,CHAMOLI,Chamoli,Durmi,DURMI
3302,CHAMOLI,Chamoli,Dusat Gaon,GOLIM
3303,CHAMOLI,Chamoli,F-1,
3304,CHAMOLI,Chamoli,F-2,
3305,CHAMOLI,Chamoli,F-3(P-1),
3306,CHAMOLI,Chamoli,F-3(P-2),
3307,CHAMOLI,Chamoli,F-3(P-3),
3308,CHAMOLI,Chamoli,Gadi,GADI
3309,CHAMOLI,Chamoli,Gadora,GADORA
3310,CHAMOLI,Chamoli,Gairgunth,TANGSA
3311,CHAMOLI,Chamoli,Gairi,GERI
3312,CHAMOLI,Chamoli,Gandasu,GANDASU
3313,CHAMOLI,Chamoli,Gauhana,GAUNA
3314,CHAMOLI,Chamoli,Gauna  Chak dhar Kumala,DHARKUMALA
3315,CHAMOLI,Chamoli,Gawar,GWAD
3316,CHAMOLI,Chamoli,Ghorsal,GHUDSHAL
3317,CHAMOLI,Chamoli,Ghuni,GHUNI
3318,CHAMOLI,Chamoli,Golim,GOLIM
3319,CHAMOLI,Chamoli,Guhai,SAKAND
3320,CHAMOLI,Chamoli,Gulari,GULARI
3321,CHAMOLI,Chamoli,Guniyala,BEMARU
3322,CHAMOLI,Chamoli,Gwarlggabemru,SYUNA
