,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Bajpur,6066.04269865,SHIVPURI,29.12777,79.20193,Badripur,Haripur Thathola,79.60477
1,Bajpur,6095.55268631,RATANPURA,29.2075,79.10515,Bandwari,Kuchala Bhadwari,80.3381
2,Bajpur,6073.91508757,GOVRA,29.23811,79.11255,Bangarh,Mangarh,80.08376
3,Bajpur,6072.60099404,BANNAKHERA,29.24325,79.15968,Bannakhera,Banera,80.07833
4,Bajpur,6084.47383878,Bannakhera Sani,29.24325,79.15968,Bannakhera Sani,Bangapani,80.29741
5,Bajpur,6093.64730145,BANSKHERA,29.15709,79.22147,Banskhera,Bhandari Gaon Basera,80.21813
6,Bajpur,6098.92761213,BERIYA DAULAT,29.12995,79.23751,Banskheri,Baseri,80.24374
7,Bajpur,6093.76656939,BARHAINI,29.21483,79.20755,Barhani,Sukha Baran,80.24824
8,Bajpur,6093.7676687,BERIYA DAULAT,29.12995,79.23751,Baria Daulat,Saidula Bora Chaura Khet,80.0826
9,Bajpur,6099.20124074,BAJPUR GAON,29.14645,79.11237,Bazpur,Bazar Lagga Kholiya Gaon,80.32568
10,Bajpur,6058.80766543,DHANSARA,29.14464,79.167,Benirampur,Ganga Rampur,79.52638
11,Bajpur,6076.36279909,BAIT KHEDI,29.26569,79.14193,Betkheri,Kheeri,80.17437
12,Bajpur,6083.1471592,BIKRAMPUR,29.19449,79.17341,Bhainsia,Bhagina Khet,80.02848
13,Bajpur,6094.01523073,BHAWA NAGLA,29.09436,79.18661,Bhawa Nagla,Sinoli Bhawalta,80.0918
14,Bajpur,6090.52847611,BHIKAMPURI,29.23886,79.15705,Bhikampuri,Bijauri,80.33635
15,Bajpur,6090.47369366,Bhjuwa Nagla,29.09436,79.18661,Bhjuwa Nagla,Bhanela Gaon,80.0935
16,Bajpur,6096.68303783,GANESHPUR,29.09641,79.1635,Bichpuri,Bichpuri,79.99968
17,Bajpur,6094.91632035,BIKRAMPUR,29.19449,79.17341,Birha,Baira,80.32436
18,Bajpur,6052.00270353,CHAKARPUR,29.15042,79.15378,Chakarpur,Chhatarpur,79.40469
19,Bajpur,6096.01494566,BANSKHERA,29.15709,79.22147,Chhitri,Chhatri Gaon,80.25289
20,Bajpur,6104.92668753,DIYOHARI,29.17336,79.19926,Deori,Dyori,80.41317
21,Bajpur,6089.21191529,KHAMBHARII,29.22872,79.19503,Dhaki,Dhari Gar,80.26245
22,Bajpur,6096.18462817,DHANSARA,29.14464,79.167,Dhansara,Dhanaura,80.22614
23,Bajpur,6061.6723091,RAJPURA NO-2,29.2145,79.11346,Faridpur,Haripur Mahtoliya,79.70012
24,Bajpur,6089.93440299,GANESHPUR,29.09641,79.1635,Ganeshpur,Gangapur,79.8666
25,Bajpur,6092.13514989,Bhjuwa Nagla,29.09436,79.18661,Gangapur,Ganaura,80.09837
26,Bajpur,6089.08265619,GOVRA,29.23811,79.11255,Govra,Gor Kholi,80.21407
27,Bajpur,6087.25344098,RATANPURA,29.2075,79.10515,Gularia,Dum Gara,80.04153
28,Bajpur,6079.04840581,JOGIPURA,29.21368,79.11087,Gularia Gobra,Gangora,80.13197
29,Bajpur,6117.0920219,GUMSAANI,29.12695,79.15688,Gumsani,Gumkana,80.60901
30,Bajpur,6065.31460385,HARIPURA,29.19706,79.21939,Haripura,Haripur Mahtoliya,79.70012
31,Bajpur,6073.43640068,HARSAN,29.18482,79.26655,Harsan,Dharson,79.84467
32,Bajpur,6093.02448016,BARHAINI,29.21483,79.20755,Hulsanganj,Saungaon Maya Bijara Kanda,80.27024
33,Bajpur,6082.00877274,ITAUWA,29.25294,79.13255,Itawa,Gaila Tala,80.31021
34,Bajpur,6084.21447997,BANSKHERA KALA,29.15709,79.22147,Jagannathpur,Gangapur,79.8666
35,Bajpur,6094.26124051,JOGIPURA,29.21368,79.11087,Jogipura,Jogyura,80.36141
36,Bajpur,6101.60151655,KANAURA,29.14585,79.09862,Kanaura,Kanar,80.39548
37,Bajpur,6105.88796725,KANAURI,29.14585,79.09862,Kanauri,Kanari,80.3891
38,Bajpur,6104.28562662,MAHAULI JANGAL,29.16406,79.26186,Katila Bonjh,Katiyani,80.36497
39,Bajpur,6087.00376834,KELABAND VARI,29.22945,79.13919,Kelabandwari,Khetar Bhandari,80.2837
40,Bajpur,6098.60373349,KESHOAWALA,29.17029,79.121,Keshowala,Kain Khola,80.3067
41,Bajpur,6093.57565146,KHAMARIYA,29.15541,79.16897,Khamaria,Kamaila,80.14209
42,Bajpur,6072.20910428,KHAMBHARII,29.22872,79.19503,Khambari,Khamariya,79.81906
43,Bajpur,6069.72246501,KELABAND VARI,29.22945,79.13919,Khushalpur,Kishanpur,79.81082
44,Bajpur,6082.71513171,BIKRAMPUR,29.19449,79.17341,Madia Daya,Haliya Maliya,80.11501
45,Bajpur,6095.84995845,RATANPURA,29.2075,79.10515,Madiakayam,Mankatiya,80.32391
46,Bajpur,6101.53706162,MAHESHPURA,29.13684,79.10965,Maheshpura,Majhera,80.28875
47,Bajpur,6096.83627825,MAHAULI JANGAL,29.16406,79.26186,Mahola,Makholya Gaon,80.2439
48,Bajpur,6098.8958557,MAHAULI JANGAL,29.16406,79.26186,Maholichain,Majholi,80.31032
49,Bajpur,6098.8958557,MAHAULI JANGAL,29.16406,79.26186,Maholi Jangal,Majholi,80.31032
50,Bajpur,6059.08465014,KELABAND VARI,29.22945,79.13919,Majra Khushhalpur,Harkishanpur,79.68153
51,Bajpur,6073.43481322,TANDA AJAM,29.10758,79.18745,Malkanthpur,Madanpur,79.68363
52,Bajpur,6060.39846958,RATANPURA,29.2075,79.10515,Mandia Baksi,Maniagar,79.80638
53,Bajpur,6109.25262695,GUMSAANI,29.12695,79.15688,Mundiaanee,Munawe,80.40701
54,Bajpur,6087.02107527,MUDIYA KALA,29.1538,79.12367,Mundia Kalan,Deokalan,79.95761
55,Bajpur,6096.436871,GUMSAANI,29.12695,79.15688,Mundiamani,Dhunamani,80.29894
56,Bajpur,6100.53170325,NAMUNA,29.19343,79.18996,Namoona,Amora,80.28381
57,Bajpur,6076.87435509,NANDPUR NARKA TOPA,29.1691,79.13892,Nandpur Narkatopa,Nanakmatta,79.8145
58,Bajpur,6084.26698111,DIYOHARI,29.17336,79.19926,Nerkhera,Kuwan Khera,79.9275
59,Bajpur,6058.65031036,NAMUNA,29.19343,79.18996,Paharpur,Haripur Thathola,79.60477
60,Bajpur,6094.96973208,RATANPURA,29.2075,79.10515,Patori,Partari,80.35388
61,Bajpur,6102.30121757,JAGANNATHPUR,29.15623,79.07307,Pipalia,Gyal Pipali,80.34763
62,Bajpur,6097.75250204,RAJPURA NO-2,29.2145,79.11346,Rajpura No.1,Rajyoura,80.37538
63,Bajpur,6097.75250204,RAJPURA NO-2,29.2145,79.11346,Rajpura No.2,Rajyoura,80.37538
64,Bajpur,6077.11756823,RAMNAGAR,29.07174,79.14955,Ramnagar,Nirmal Nagar,79.66359
65,Bajpur,6066.77830357,RAMPUR KAJI,29.07321,79.17573,Rampuraqazi,Ganga Rampur,79.52638
66,Bajpur,6055.35363196,RAMPURA SAKAR,29.16517,79.09449,Rampura Sakar,Ganga Rampur,79.52638
67,Bajpur,6077.75974802,RATANPURA,29.2075,79.10515,Ratanpura,Ratanpur,79.90611
68,Bajpur,6077.75974802,RATANPURA,29.2075,79.10515,Ratanpuri,Ratanpur,79.90611
69,Bajpur,6051.25351937,Bannakhera Sani,29.24325,79.15968,Santoshpur,Panthpura,79.53049
70,Bajpur,6089.25663327,SARKADA,29.18189,79.06908,Sarkara,Sarada Sagar Jhau Parasa,80.02583
71,Bajpur,6105.35375994,GANESHPUR,29.09641,79.1635,Seetanganj,Saungaon Maya Bijara Kanda,80.27024
72,Bajpur,6087.15855318,BHIKAMPURI,29.23886,79.15705,Sehali,Seli,80.25129
73,Bajpur,6054.50220314,SHIVPURI,29.12777,79.20193,Shivpuri,Shivlalpur,79.44281
74,Bajpur,6099.30497182,GANESHPUR,29.09641,79.1635,Shoka Nagla,Nagla Tarai,80.02466
75,Bajpur,6035.76775637,GUMSAANI,29.12695,79.15688,Tali,Tali,79.13364
76,Bajpur,6094.92618687,TANDA AJAM,29.10758,79.18745,Tanda Azam,Setal Sandakham,79.96941
77,Bajpur,6095.77004449,GANESHPUR,29.09641,79.1635,Tanda Khem,Setal Sandakham,79.96941
78,Bajpur,6096.36291985,Bhjuwa Nagla,29.09436,79.18661,Tanda Mehmood,Setal Sandakham,79.96941
79,Bajpur,6092.15539802,BERIYA DAULAT,29.12995,79.23751,Tanda Ratibhan,Darati,80.24
80,Bajpur,6117.02694237,HARSAN,29.18482,79.26655,Thapak Nagla,Pangla,80.67618
81,Bajpur,6085.38271908,BIKRAMPUR,29.19449,79.17341,Tharan Ganj,Taragun,80.16904
82,Bajpur,6107.80818641,Bhjuwa Nagla,29.09436,79.18661,Thodhupura,Dhaun Dhura,80.31895
83,Bajpur,6093.55108098,KELABAND VARI,29.22945,79.13919,Ujhani Duli,Chanauli,80.34982
84,Bajpur,6090.57662092,RAJPURA NO-2,29.2145,79.11346,Ujhani Jangal,Dubar Jainal,80.19367
85,Bajpur,6094.05624286,RATANPURA,29.2075,79.10515,Uncha Gaon,Naugaon,80.30063
86,Bajpur,6098.55023746,BANSKHERA,29.15709,79.22147,Vijai Nagliya,Dubar Jainal,80.19367
87,Bajpur,6061.08976178,BANSKHERA,29.15709,79.22147,Vijai Rampura,Vijaipur,79.59464
88,Bajpur,6053.45303699,BIKRAMPUR,29.19449,79.17341,Vikrampur,Ganga Rampur,79.52638
89,Gadarpur,6107.71234491,ALAKHDEVA,28.99387,79.26744,Alakhdeva,Jhalandev,80.07477
90,Gadarpur,6119.16139649,ALAKHDEVI,29.00597,79.2644,Alakhdevi,Asladi,80.26647
91,Gadarpur,6104.65746193,ANANAD KHERA,29.02928,79.31994,Anandkhera,Kandera,80.16535
92,Gadarpur,6109.53076089,BAKAENIYA,29.03866,79.18604,Bakainiya,Biniya Mirthi,80.28944
93,Gadarpur,6087.15407845,MOTIYAPURA,29.09414,79.22319,Bal Khera,Balkhera,79.81641
94,Gadarpur,6108.99976979,BARAKHERA,29.04083,79.26017,Bara Khera,Bairakh,80.08611
95,Gadarpur,6122.93706637,BARERAEI,29.04397,79.92753,Barirai,Baira,80.32436
96,Gadarpur,6076.19381083,BURANAGAR,29.02168,79.28416,Boora Nagar,Dumka Bangar Bachi Dharma,79.54858
97,Gadarpur,6117.81593802,BUKSAURA,29.03815,79.33309,Buksaura,Basaur Mainan,80.32796
98,Gadarpur,6097.11914421,CHANDANNAGAR,29.06344,79.31699,Chandan Nagar,Chankana,80.10376
99,Gadarpur,6095.34292771,MADNAPUR,29.08135,79.3279,Charanpur,Chandpur,79.92074
100,Gadarpur,6124.17232628,DONGPURI,29.05264,79.23037,Daunkpuri,Syankuri,80.5644
101,Gadarpur,6080.84185635,DHANPUR VIJAYPUR,29.06529,79.27551,Dhanpur Vijaipur,Dharampur,79.69959
102,Gadarpur,6107.93199349,DHEEMARKHERA,29.09414,79.22139,Dheemar Khera,Majhera,80.28875
103,Gadarpur,6073.20384196,DHEEMARIBLOCK,29.07809,79.35233,Dhemri Block,Khamia Block No4,79.5479
104,Gadarpur,6079.40724008,DHEEMARKHERA,29.09414,79.22139,Fatehganj,Paithan,79.94028
105,Gadarpur,6098.12360565,GADARPURA,29.03046,79.22293,Gadarpur,Gangapur,79.8666
106,Gadarpur,6075.9649615,GUMCHAEYA,29.02559,79.23628,Gadarpuri,Gadaria Bang,79.53072
107,Gadarpur,6088.47689631,GIRDHARNAGAR,29.07348,79.25079,Girdhar Nagar,Podhara Dhargari,79.98905
108,Gadarpur,6131.04912553,GIRDHARNAGAR,29.07348,79.25079,Gopal Nagar,Salagar,80.71748
109,Gadarpur,6081.91755789,GOVINDPUR,29.11505,79.28976,Govindpur,Govindpur,79.74005
110,Gadarpur,6093.76555271,GOVINDPUR,29.11505,79.28976,Gularbhoj,Garhkot,80.04084
111,Gadarpur,6124.71253359,GUMCHAEYA,29.02559,79.23628,Gumchiya,Umachiya,80.55004
112,Gadarpur,6062.76246942,MASEET,29.10101,79.21501,Husainpur,Haripur Gangu,79.53091
113,Gadarpur,6096.10386757,Jaganpuri,29.05756,79.22152,Jaganpuri,Jagari,80.06962
114,Gadarpur,6096.10386757,JHAGARPURI,29.05756,79.22152,Jhagarpuri,Jagari,80.06962
115,Gadarpur,6102.19743462,KOPA,29.11628,79.31686,Kaupa,Kapari Gaon,80.25885
