,State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
30263,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,AKARABAD,39370.0,27.805029,78.271909,AKARABAD,1
30264,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,ALAMPUR,39371.0,27.774328,78.192328,ALAMPUR,1
30265,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,AMAMADAPUR,39372.0,27.751911,78.358959,AMAMADAPUR,1
30266,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BAGHIYAR,39373.0,27.735446,78.204824,BAGHIYAR,1
30267,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BAHADURPUR,39374.0,27.825479,78.360584,BAHADURPUR,1
30268,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BAMNOI,39375.0,27.784309,78.348411,BAMNOI,1
30269,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BARA KALAN,39376.0,27.723168,78.184101,BARA KALAN,1
30270,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BARHAD,39377.0,27.705059,78.206989,BARHAD,1
30271,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHADROI,39378.0,27.828338,78.385939,BHADROI,1
30272,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHATAULI,39379.0,27.796489,78.208109,BHATAULI,1
30273,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHELET RAMNAGAR,39380.0,27.857228,78.384118,BHELET RAMNAGAR,1
30274,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHILAWALI,39381.0,27.84223,78.379811,BHILAWALI,1
30275,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHIMPUR HARIPURA,39382.0,27.768768,78.315811,BHIMPUR HARIPURA,1
30276,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BHINOLI,39383.0,27.717329,78.273549,BHINOLI,1
30277,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BIJALPUR,39384.0,27.739394,78.256074,BIJALPUR,1
30278,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,BISTAULI,39385.0,27.710618,78.263358,BISTAULI,1
30279,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,CHANDPUR MIRZA,39386.0,27.804059,78.366039,CHANDPUR MIRZA,1
30280,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,CHITRAULI,39387.0,27.789449,78.229079,CHITRAULI,1
30281,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,DABHA,39388.0,27.806539,78.327988,DABHA,1
30282,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,DABHAURA,39389.0,27.839619,78.366909,DABHAURA,1
30283,UTTAR PRADESH,9,ALIGARH,143,AKRABAD,818,DABHI,39390.0,27.806219,78.321511,DABHI,1
