,"District Name
(in English)","Sub District Name
(in English)","Village Name
(in English)","Local Body Name
(in English)"
19680,BARABANKI,Fatehpur,Aalemau,AALHEMAU
19681,BARABANKI,Fatehpur,Achaicha,ACHAICHA
19682,BARABANKI,Fatehpur,Agasand,AGASAND
19683,BARABANKI,Fatehpur,Agauli,MUNDERI
19684,BARABANKI,Fatehpur,Ahamad Nagar,GADIYA
19685,BARABANKI,Fatehpur,Ahmadpur,GUDAULI
19686,BARABANKI,Fatehpur,Akbarpur,ODAAR
19687,BARABANKI,Fatehpur,Akhaipur,AKHAIPUR
19688,BARABANKI,Fatehpur,Alampur,GODAICHA
19689,BARABANKI,Fatehpur,Alinagar Karaund,PILHATI HAIDERABAD
19690,BARABANKI,Fatehpur,Allahapur Bharali,ALLAHAPUR BHARALI
19691,BARABANKI,Fatehpur,Amarsanda,AMARSANDA
19692,BARABANKI,Fatehpur,Amra,AMERA
19693,BARABANKI,Fatehpur,Anwari,ANWARI
19694,BARABANKI,Fatehpur,Asohna,ASOHANA
19695,BARABANKI,Fatehpur,Athara,ATAHRA
19696,BARABANKI,Fatehpur,Aurangabad,AURANGABAD
19697,BARABANKI,Fatehpur,Avawa,AMAWA
19698,BARABANKI,Fatehpur,Bacharauli,SALEHPUR
19699,BARABANKI,Fatehpur,Bachrajmau,MAWAIYA
19700,BARABANKI,Fatehpur,Badagaon,BADAGAON
19701,BARABANKI,Fatehpur,Baddupur,BADDUPUR
19702,BARABANKI,Fatehpur,Badela,GAURA GAJNI
19703,BARABANKI,Fatehpur,Bahrauli,BAHRAULI
19704,BARABANKI,Fatehpur,Baina Tikaihar,BAINA TIKAR HAR
19705,BARABANKI,Fatehpur,Baisara,BAISARA
19706,BARABANKI,Fatehpur,Bajgahami,BAJGAHANI
19707,BARABANKI,Fatehpur,Bajidpur,ASOHANA
19708,BARABANKI,Fatehpur,Balloopur,BALLOPUR
19709,BARABANKI,Fatehpur,Bamnitola,JARKHA
19710,BARABANKI,Fatehpur,Banar,BANAR
19711,BARABANKI,Fatehpur,Bandginagar,BANDAGINAGAR
19712,BARABANKI,Fatehpur,Baniyani,GAURI BANIYANI
19713,BARABANKI,Fatehpur,Banjaria,BANJARIA
19714,BARABANKI,Fatehpur,Banmau,BANMAU
19715,BARABANKI,Fatehpur,Bannisalemabad,BANNI SULEMABAD
19716,BARABANKI,Fatehpur,Barawa,BARAWA
19717,BARABANKI,Fatehpur,Barethi,DOHAI
19718,BARABANKI,Fatehpur,Barkheria,PALIYA
19719,BARABANKI,Fatehpur,Barnapur,SARWA
19720,BARABANKI,Fatehpur,Basantpur,BAMHANWA
19721,BARABANKI,Fatehpur,Basantpur,BASANTPUR
19722,BARABANKI,Fatehpur,Basara,BASARA
19723,BARABANKI,Fatehpur,Basara,BASARA
19724,BARABANKI,Fatehpur,Basari,BASARI
19725,BARABANKI,Fatehpur,Basauli,BASAULI
19726,BARABANKI,Fatehpur,Behta,KASGAON
19727,BARABANKI,Fatehpur,Behta Khemkaran,GANGCHAULI
19728,BARABANKI,Fatehpur,Behti,KHAIRA
19729,BARABANKI,Fatehpur,Behura,BIHURA
19730,BARABANKI,Fatehpur,Belhara,BELHARA
19731,BARABANKI,Fatehpur,Bhadesia,BHADESIYA
19732,BARABANKI,Fatehpur,Bhadras,BHADRAAS
19733,BARABANKI,Fatehpur,Bhagauli,BHAGAULI
19734,BARABANKI,Fatehpur,Bhagnapur,KASAUNJA
19735,BARABANKI,Fatehpur,Bhaisuriya Mujahidpur,BHAISURIYA MUJAHIDPUR
19736,BARABANKI,Fatehpur,Bhandar,BHANDAR
19737,BARABANKI,Fatehpur,Bhatpurwa,BILAULI   MAHRAJ
19738,BARABANKI,Fatehpur,Bhatwamau,BHATUAMAU
19739,BARABANKI,Fatehpur,Bhawanipur,TADWA NAANKARI
19740,BARABANKI,Fatehpur,Bheria,BHIRIYA
19741,BARABANKI,Fatehpur,Bhikhampur,PATAUNJA
19742,BARABANKI,Fatehpur,Bhundia,RALBHARI
19743,BARABANKI,Fatehpur,Bhundwa,RALBHARI
19744,BARABANKI,Fatehpur,Bhurkunda,UMRI-II
19745,BARABANKI,Fatehpur,Bibipur,RALBHARI
19746,BARABANKI,Fatehpur,Biddipur Kala,SHAHPUR
19747,BARABANKI,Fatehpur,Biddipurkhurd,KAZI BEHATA
19748,BARABANKI,Fatehpur,Bihuri,SARWA
19749,BARABANKI,Fatehpur,Bijauli,SINGTARA
19750,BARABANKI,Fatehpur,Bilauli,BILAULI HAZRATPUR
19751,BARABANKI,Fatehpur,Bilauli,BILAULI   MAHRAJ
19752,BARABANKI,Fatehpur,Bindoura Dharthariya,BINDAURA DHARTHARIYA
19753,BARABANKI,Fatehpur,Birampur,AKHAIPUR
19754,BARABANKI,Fatehpur,Bisain,BISAI
19755,BARABANKI,Fatehpur,Bishunpur,BISHUNPUR
19756,BARABANKI,Fatehpur,Bodhni,KHATAULI
19757,BARABANKI,Fatehpur,Budhanpur,KARANPUR
19758,BARABANKI,Fatehpur,Budhiyapur,LALAPUR
19759,BARABANKI,Fatehpur,Bunny Roshanpur,BANNI SULEMABAD
19760,BARABANKI,Fatehpur,Burhna,BUDHANA
19761,BARABANKI,Fatehpur,Chagepur,DHAKAWA
19762,BARABANKI,Fatehpur,Chakalwaria,KATGHARA
19763,BARABANKI,Fatehpur,Chakia,CHAKIYA
19764,BARABANKI,Fatehpur,Chakkajipur,KHAPURWA KHANPUR
19765,BARABANKI,Fatehpur,Chakkodar,AURANGABAD
19766,BARABANKI,Fatehpur,Chakmajhar,RASOOL PANAH
19767,BARABANKI,Fatehpur,Chakmakna,KATGHARA
19768,BARABANKI,Fatehpur,Chakmirpur,LILAULI
19769,BARABANKI,Fatehpur,Chakshariphpur,SANDUPUR
19770,BARABANKI,Fatehpur,Chandauli,DAFARPUR
19771,BARABANKI,Fatehpur,Chandoora,CHANDOORA
19772,BARABANKI,Fatehpur,Chandwal,CHANDWAL
19773,BARABANKI,Fatehpur,Chatwara,SAURANGA
19774,BARABANKI,Fatehpur,Cheda,CHHEDA
19775,BARABANKI,Fatehpur,Chhilgawa,CHHILGAWAN
19776,BARABANKI,Fatehpur,Chraiya,SAURANGA
19777,BARABANKI,Fatehpur,Dadera,DADERA
19778,BARABANKI,Fatehpur,Dafarpur,DAFARPUR
19779,BARABANKI,Fatehpur,Damaura,ISRAULI
19780,BARABANKI,Fatehpur,Dandiyamau,SANDUPUR
19781,BARABANKI,Fatehpur,Darawan,DARAWAN
