,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Baberu,6797.60660727,ACHHAH,25.52102,80.681526,Achhah,Bachha Par,84.02594
1,Baberu,6756.26607574,ADHAWAN,25.617696,80.811112,Adhawan,Mahawan Khor Urf Barahra,83.66183
2,Baberu,6764.60048467,AHAR,25.52126,80.639576,Ahar,Ahar Aura,83.2431
3,Baberu,6720.00727055,ALAMPUR,25.544895,80.631602,Alampur,Alampur,82.95665
4,Baberu,6823.27624461,ALIHA,25.497723,80.523086,Aliha,Balihar,84.39988
5,Baberu,6706.12781921,SIMAUNEE,25.595972,80.602217,Amar Ganj,Karmaganj,82.79693
6,Baberu,6783.40404267,ANAUSA,25.564064,80.577344,Anousa,Nanoura,83.89272
7,Baberu,6775.79883933,ANVAN,25.567799,80.722575,Anvan,Anant Chhapra,83.92375
8,Baberu,6794.07782836,ARMAR,25.625588,80.829019,Armar,Karmmar Taluka Majhos,84.11858
9,Baberu,6780.02998368,AUGASI,25.678143,80.729725,Augasi,Auga,84.05446
10,Baberu,6789.77730481,BABERU DEHAT,25.546895,80.705349,Baberu Dehat,Bardha Pandey,84.0445
11,Baberu,6774.86261307,BAKAL,25.677806,80.756294,Bacal,Badal Chhapra,84.05708
12,Baberu,6741.37331371,BADA GAON,25.497092,80.633969,Bada Gaon,Badagon,83.28956
13,Baberu,6785.159345,BADAULEE,25.630572,80.653628,Badaulee,Rampur Adaee,83.97518
14,Baberu,6657.86447551,BAGEHTA,25.551061,80.615719,Bagehta,Benipur Bahta,82.0204
15,Baberu,6773.94852396,RAGOLEE,25.557156,80.568839,Baghanda,Baghparna,83.87987
16,Baberu,6792.61231611,BAGHELA,25.615361,80.643494,Baghela,Baghewa,84.09478
17,Baberu,6780.73742375,PARA BANNU BEGAM,25.575294,80.806157,Bamharola,Amhara,83.7949
18,Baberu,6764.33184017,BAROOLEE AZAM,25.456767,80.643776,Baroulee Azam,Bharoulia,83.37041
19,Baberu,6750.80484006,BHABHUWA,25.622257,80.780472,Bhabhuwa,Chak Bhabha,83.28456
20,Baberu,6779.5119044,PADAREE,25.578922,80.588814,Bhatoulee,Bhatouli,83.88882
21,Baberu,6739.5501167,BIL GAVAN,25.567799,80.722575,Bil Gavan,Bagavana,83.08585
22,Baberu,6768.28864045,BIRRAVAN,25.567799,80.722575,Birravan,Rorava,83.32517
23,Baberu,6755.48150305,BYONJA,25.593161,80.661048,Byonja,Bodna,83.69609
24,Baberu,6740.92241212,TOLA KAJEE,25.660637,80.702986,Chaktola,Chaktaj,83.2512
