,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Amroha,6342.15093497,Adalpur Samdu,29.04606,78.44651,Adalpur Samdoo,Sadalpura,83.2078
1,Amroha,6356.83818691,Ahroi,28.91499,78.54183,Aharoi,Bhal Pahari,82.93918
2,Amroha,6323.48415087,Aaivzabad,28.94584,78.49654,Aiwajabad,Nawabad Jangal Sheopur,82.78772
3,Amroha,6417.57186789,Akbarpur Patti,28.94109,78.45689,Akbarpur Patti,Akbarpura,84.31162
4,Amroha,6421.23227651,Bhatpura Sakenia,28.91499,78.54183,Akbarpur Sakinya,Akbarpura,84.31162
5,Amroha,6316.10864812,Alampur Kainch,28.97319,78.39924,Alampur Kainch,Alampur,82.95665
6,Amroha,6391.32371131,Alhedadpur Kalan,28.94223,78.45045,Alehdadpur Kalan,Alihadadpur,83.9141
7,Amroha,6328.20608661,HUSSAINPUR NEAR MAALIKHERA,28.98165,78.45387,Alimohammadpur,Mohammadpur Kathar,83.12293
8,Amroha,6278.87806616,Rampur Safed Bag,29.04433,78.50778,Alipur Chamarwa,Mohammdpur Chamara,82.38653
9,Amroha,6367.5623864,Apraula May Bag,28.97529,78.45575,Apraula Maybag,Rasulabad,83.55999
10,Amroha,6336.18294484,Avvwalpur,28.94469,78.42449,Awwalpur,Kawalpur,83.27158
11,Amroha,6405.86136559,Azampur,28.43162,78.42286,Azampur,Khane Azampur,83.07196
12,Amroha,6334.81398279,Badshahpur,28.98963,78.41367,Badshahpur,Badshahpur,83.28843
13,Amroha,6414.73728185,Bagadpur Kalan,28.51278,78.96541,Bagarpur Kalan,Bagaura,83.236
14,Amroha,6334.34971644,Bahadurpur Khurd,28.93612,78.37068,Bahadurpur Khurd,Bahadurpur,83.25598
15,Amroha,6401.37846228,Sihali Narayan,28.93764,78.59752,Bahlolpur,Bahlolpur,84.02947
16,Amroha,6395.96854376,Ghansurpur Bamniya,28.92323,78.59954,Bamanpur urf Bamaniya,Baramadiya,83.95034
17,Amroha,6401.531288,Bans Kheri,28.98867,78.39963,Banskheri,Premchak Urf Baheri,84.14296
18,Amroha,6237.88717005,Barkhera Rajput,28.98165,78.45387,Barkhera Rajput,Barkhurdarpur,81.57957
19,Amroha,6192.47548273,Barkhera Sadat,28.95489,78.40653,Barkhera Sadat,Barkhera,80.81188
20,Amroha,6350.5759019,Baseda Taga,29.04084,78.47295,Baserataga,Baraga,83.32651
21,Amroha,6344.32710296,Hisampur,29.03975,78.43467,Bastapur,Basntpur Raja,83.55315
22,Amroha,6328.02157516,Bibra Kalan,29.00685,78.50053,Beebra Kalan,Beerkala,82.78625
23,Amroha,6401.86253419,Bibra Khurd,29.00711,78.48707,Beebra Khurd,Bheekhpur,84.17489
24,Amroha,6384.08040718,Beelna,29.02164,78.39481,Beelna (CT),Belwachhit Urf Kajipur,84.06235
25,Amroha,6368.46435481,Bhatpura Sakenia,28.91499,78.54183,Bhatpura Sakainiya,Bhatpurawan,83.2746
26,Amroha,6392.35595936,Bhawalpur Mafi,28.75265,78.35316,Bhawalapur Mafi,Bhawarapur,83.65064
27,Amroha,6409.64497718,Bheda Bhartpur,28.90347,78.36636,Bhera Bharatpur,Bharatpur Chaubey,84.13249
28,Amroha,6397.77616643,Beejra,29.00469,78.42636,Bijra,Bijora,84.108
29,Amroha,6340.65740306,Bohra,28.91031,78.41469,Bohra,Bouhara,83.04053
30,Amroha,6391.51015147,Buderna,28.51278,78.96541,Buderana,Budhana,83.2316
31,Amroha,6378.42313113,Baseda Taga,29.04084,78.47295,Burhanpur Mafi,Budhanpura,83.92377
32,Amroha,6328.63664732,Nasir Nagla,28.97074,78.41628,Chak Alahdipur,Chadipur Khurd,83.05898
33,Amroha,6385.43499778,Apraula May Bag,28.97529,78.45575,Chak Aproula,Chakara Tiwari,83.95504
34,Amroha,6403.61225673,Alipur Kalan,29.00261,78.35676,Chakarsi,Chakari,84.21223
35,Amroha,6343.50964769,Bahadurpur Khurd,28.93612,78.37068,Chak Bahadur Khurd,Khajurikhurd,82.94107
36,Amroha,6377.45766188,Beelna,29.02164,78.39481,Chak Beelna,Chakea Urf Misrawalia,83.80831
37,Amroha,6385.77850679,Beejra,29.00469,78.42636,Chak Bijra,Chakra Kolhua,83.94737
38,Amroha,6397.83282617,Sunpura,28.99977,78.51171,Chak Chhavi,Chakhani Dukhi Mishra,84.22206
39,Amroha,6352.16447426,Isapur,29.03975,78.43467,Chak Dhikanagla,Chanaga,83.13838
40,Amroha,6371.6502338,Gajasthal,28.94717,78.43641,Chak Gajasthal,Barhara Chargaha,83.81735
41,Amroha,6430.96363045,Papri,28.91187,78.55783,Chakiya,Chakiya,84.45494
42,Amroha,6353.83511072,Dheyori urf  Hadipur,28.91943,78.40972,Chak Janpur,Babhanpura Or Bhajanpur,83.31682
43,Amroha,6407.81284277,Alampur Kainch,28.97319,78.39924,Chak Kainch,Chakki Diyara Sultanpur,84.2455
44,Amroha,6300.14235112,Alampur Kainch,28.97319,78.39924,Chak Mehmoodpur,Mahmoodpur,82.56421
45,Amroha,6362.21399359,Dhanaura urf Murad Nagar,29.02263,78.43861,Chak Nagli Asdullahpur,Khairullahpur,83.54771
46,Amroha,6347.48359641,Jabda,28.93596,78.39273,Chak Rustampur Urf Roshanpur,Chakarapanpur,83.21167
47,Amroha,6378.18467128,Nazarpur Khurd,28.94584,78.49654,Chak Saddoo,Chakwad Faros,83.74019
48,Amroha,6380.2253757,Apraula May Bag,28.97529,78.45575,Chak Usmanpur,Chamanpura,83.88728
49,Amroha,6273.01448471,Bahadurpur Khurd,28.93612,78.37068,Chauhra Urf Mathuranagar,Chhatanag Uperhar,81.91359
50,Amroha,6424.0393571,Sunpura,28.99977,78.51171,Chhabi,Chai Chhupra,84.5092
51,Amroha,6403.98182313,Dhanaura urf Murad Nagar,29.02263,78.43861,Chubka,Chaukan Taluka Bansdih,84.24514
52,Amroha,6282.35593301,Dehakbara,29.92954,78.51476,Dahaikwara,Dahinwar,83.86299
53,Amroha,6367.64989893,Daud Sarai,28.92122,78.42785,Daud Sarai,Dadari,83.57945
54,Amroha,6343.73208184,Dehri Khurram,29.04149,78.53609,Dehri Khurram,Harikhora,83.41196
55,Amroha,6388.07943842,Dheyori urf  Hadipur,28.91943,78.40972,Deori Urf Hadipur,Chandan Patti Nirbhaipur,83.86589
