,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Arvi,0.733031130878,AHIRWADA,20.952062,78.17914,Ahirwada,20.95636441,78.18448849
1,Arvi,3.94058225365,BAJARWADA,20.971,78.245306,Ahmadnagar,21.00542213,78.23628078
2,Arvi,2.41050789918,AJANGAON,20.865167,78.438333,Ajangaon,20.85816801,78.41637629
3,Arvi,2.9976239116,BAJARWADA,20.971,78.245306,Ajdapur,20.97905248,78.21775268
4,Arvi,3.65997941465,WATHODA,20.963278,78.219778,Allipur,20.93615724,78.19980677
5,Arvi,1.97807480345,BEDHONA,20.995056,78.317917,Ambazari,20.97863745,78.31058294
6,Arvi,1.81481760375,ANTARDOH,20.906687,78.220081,Antardoh,20.90239479,78.23693707
7,Arvi,3.02629980018,SHIRPUR(B),21.034944,78.184694,Ashta,21.02340734,78.21110295
8,Arvi,2.3001055575,DHANODI,20.873778,78.285778,Bahadarpur,20.8854574,78.26750542
9,Arvi,0.506052939424,BAJARWADA,20.971,78.245306,Bajarwada,20.97496323,78.24291013
10,Arvi,4.08501894267,KASARKHEDA,20.90075,78.514639,Balaimajara,20.87412714,78.48754303
11,Arvi,1.66835927812,BEDHONA,20.995056,78.317917,Bedhona,20.99087555,78.30248278
12,Arvi,2.05068736939,BELHARA,21.025861,78.366417,Belhara,21.03457672,78.34900436
13,Arvi,0.992477739036,BENODA,21.005111,78.191333,Benoda,21.00861125,78.20012815
14,Arvi,1.64436432038,BHADOD,20.88775,78.413056,Bhadod,20.88284113,78.39812539
15,Arvi,3.26558433863,PIPRI,20.922306,78.27425,Bhadod,20.89659717,78.25905265
16,Arvi,5.57484830007,SAWALAPUR,20.996972,78.258389,Bhaipur,20.99743104,78.20468953
17,Arvi,1.56573504773,BODAD,20.868167,78.323028,Bodad,20.8777169,78.31195357
18,Arvi,0.212313751624,MADNA,20.897389,78.541278,Borkhedi,20.89556347,78.54067897
19,Arvi,1.21033435295,BOTHALI(K),20.934667,78.387028,Bothali,20.93193892,78.37574597
